epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,249.836,1.00488,2.41185,1.28235,0.60761,0.52906,0.55114,0.35283,1.15662,1.50153,1.35957,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,439.546,1.12991,1.94639,1.37672,0.54725,0.47411,0.49362,0.29592,1.31901,1.68147,1.53024,0.0195945,0.00653151,0.0195945,0.00653151,0.0195945,0.00653151,0.0195945,0.00653151
3,612.523,1.27058,2.14247,1.49155,0.4413,0.39681,0.37469,0.206,1.44868,1.95856,1.6677,0.0288027,0.00960091,0.0288027,0.00960091,0.0288027,0.00960091,0.0288027,0.00960091
4,777.787,1.3202,2.13268,1.53738,0.50996,0.44382,0.43487,0.26024,1.3455,1.79642,1.58005,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,941.9,1.25742,1.95113,1.5013,0.55281,0.50701,0.52779,0.32138,1.28533,1.57581,1.50788,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1105.72,1.21664,1.81451,1.46715,0.59463,0.52848,0.54765,0.34474,1.23191,1.48019,1.47147,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1272.8,1.18435,1.71568,1.44174,0.6375,0.5581,0.6054,0.38586,1.22211,1.39881,1.46352,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1441.09,1.15843,1.65472,1.42414,0.66956,0.55151,0.61196,0.40153,1.16807,1.33293,1.41661,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1607.88,1.13739,1.59143,1.40496,0.67617,0.61557,0.6663,0.44318,1.13385,1.23914,1.36714,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1770.7,1.11761,1.54065,1.38811,0.6785,0.60272,0.65314,0.43699,1.11956,1.23826,1.36833,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
