epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6398,2.09713,7.28463,0.0172,1.73775,0.00414,0.7033,0.15462,0.07879,1.6903,3.44595,0.02079,0.000233897,0.000233897,0.000233897
2,78.2512,1.75675,5.55643,0.01319,1.388,0.63726,0.17867,0.27783,0.15349,1.58999,2.59327,0.019,0.000469561,0.000469561,0.000469561
3,105.773,1.78311,4.60003,0.01366,1.19171,0.58456,0.29409,0.33672,0.16782,1.7455,2.34106,0.02237,0.000702869,0.000702869,0.000702869
4,133.766,1.75849,3.7027,0.01378,1.09789,0.68034,0.37096,0.41219,0.21625,1.72004,1.99803,0.02395,0.000703397,0.000703397,0.000703397
5,161.993,1.75953,3.11058,0.0141,1.03025,0.62361,0.41762,0.48111,0.24794,1.72703,2.05463,0.02275,0.000699863,0.000699863,0.000699863
6,190.023,1.74718,2.74764,0.01343,0.98185,0.53864,0.4287,0.48598,0.23983,1.76148,1.87502,0.02314,0.000696328,0.000696328,0.000696328
7,218.374,1.72797,2.48704,0.01386,0.94476,0.57873,0.57283,0.56955,0.27604,1.72641,1.68384,0.02345,0.000692794,0.000692794,0.000692794
8,246.425,1.74406,2.27044,0.01334,0.90756,0.51099,0.56198,0.58407,0.27911,1.67872,1.71623,0.02207,0.00068926,0.00068926,0.00068926
9,274.046,1.73558,2.12481,0.01342,0.8861,0.64484,0.54598,0.58759,0.29328,1.73986,1.67408,0.02252,0.000685726,0.000685726,0.000685726
10,302.415,1.71108,2.01306,0.01337,0.85909,0.57535,0.6016,0.63184,0.32353,1.71269,1.57347,0.02114,0.000682191,0.000682191,0.000682191
11,330.698,1.71444,1.93246,0.01298,0.83448,0.64652,0.58551,0.60646,0.3142,1.78484,1.51947,0.02434,0.000678657,0.000678657,0.000678657
12,358.775,1.70953,1.82338,0.01288,0.81486,0.55522,0.61093,0.62307,0.33423,1.70431,1.4923,0.02175,0.000675123,0.000675123,0.000675123
13,387.315,1.6865,1.77956,0.01306,0.8004,0.53231,0.5928,0.61082,0.30647,1.752,1.52004,0.02236,0.000671588,0.000671588,0.000671588
14,414.726,1.68248,1.73883,0.01247,0.77784,0.63319,0.6123,0.64526,0.31659,1.81588,1.54509,0.02434,0.000668054,0.000668054,0.000668054
15,442.209,1.68874,1.71406,0.01302,0.76099,0.552,0.64854,0.67046,0.33791,1.70612,1.44245,0.02156,0.00066452,0.00066452,0.00066452
16,470.529,1.67958,1.65903,0.01303,0.74644,0.64535,0.57735,0.64039,0.32773,1.86978,1.55099,0.02513,0.000660986,0.000660986,0.000660986
17,498.409,1.68659,1.66459,0.01261,0.73248,0.6672,0.65418,0.67969,0.35607,1.71872,1.40447,0.02133,0.000657451,0.000657451,0.000657451
18,525.792,1.6787,1.62124,0.01264,0.7188,0.67437,0.63647,0.65713,0.35182,1.73521,1.41687,0.02278,0.000653917,0.000653917,0.000653917
19,553.386,1.67931,1.59131,0.01283,0.7077,0.72801,0.57561,0.66024,0.34635,1.76158,1.39358,0.02268,0.000650383,0.000650383,0.000650383
20,581.463,1.68026,1.52594,0.01253,0.68979,0.62956,0.62165,0.64235,0.34278,1.80639,1.48005,0.02295,0.000646848,0.000646848,0.000646848
21,609.172,1.66412,1.55063,0.01244,0.68564,0.67106,0.62048,0.69341,0.38574,1.66765,1.39188,0.02055,0.000643314,0.000643314,0.000643314
22,636.952,1.63931,1.49999,0.01209,0.67128,0.5785,0.68544,0.69864,0.39752,1.73618,1.29651,0.02168,0.00063978,0.00063978,0.00063978
23,665.102,1.65504,1.45304,0.01248,0.66122,0.74055,0.55959,0.66368,0.36438,1.78789,1.37301,0.02497,0.000636245,0.000636245,0.000636245
24,692.952,1.64554,1.44707,0.01206,0.65132,0.69003,0.6004,0.67053,0.334,1.90282,1.41455,0.02328,0.000632711,0.000632711,0.000632711
25,721.297,1.65765,1.45081,0.01212,0.63914,0.62506,0.69107,0.70149,0.38667,1.72659,1.26592,0.02131,0.000629177,0.000629177,0.000629177
26,749.702,1.62268,1.42473,0.01155,0.63121,0.67511,0.63442,0.70055,0.37073,1.81219,1.33356,0.02304,0.000625642,0.000625642,0.000625642
27,777.987,1.67598,1.40726,0.01241,0.62644,0.68081,0.60128,0.68278,0.376,1.75922,1.31511,0.02168,0.000622108,0.000622108,0.000622108
28,806.474,1.62168,1.37871,0.01182,0.61388,0.72296,0.65097,0.70064,0.37648,1.77909,1.25686,0.02193,0.000618574,0.000618574,0.000618574
29,834.679,1.62309,1.3196,0.012,0.60636,0.6742,0.69953,0.71509,0.38023,1.82015,1.34121,0.02252,0.00061504,0.00061504,0.00061504
30,862.409,1.62709,1.36323,0.0116,0.59993,0.76423,0.55346,0.67136,0.36152,1.77422,1.27965,0.02216,0.000611505,0.000611505,0.000611505
31,889.854,1.6353,1.34145,0.01164,0.58766,0.75128,0.6379,0.69161,0.36068,1.82562,1.29833,0.02247,0.000607971,0.000607971,0.000607971
32,918.236,1.6025,1.32687,0.01184,0.58701,0.76267,0.60417,0.70932,0.3549,1.8222,1.33819,0.02185,0.000604437,0.000604437,0.000604437
33,946.65,1.61141,1.29092,0.0117,0.57993,0.58081,0.63123,0.64464,0.34425,1.78107,1.41583,0.02219,0.000600902,0.000600902,0.000600902
34,975.148,1.6287,1.26485,0.0117,0.57575,0.69024,0.60645,0.67548,0.35096,1.83792,1.29654,0.02391,0.000597368,0.000597368,0.000597368
35,1003.36,1.61034,1.25112,0.01128,0.56461,0.64423,0.61152,0.69396,0.34397,1.82084,1.29531,0.0223,0.000593834,0.000593834,0.000593834
36,1031.62,1.60145,1.23864,0.01113,0.56108,0.60498,0.63769,0.67728,0.36358,1.80384,1.26427,0.02148,0.0005903,0.0005903,0.0005903
