epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.983,2.09584,7.28494,0.01715,1.92677,0.00363,0.59018,0.16168,0.07417,1.73655,3.53359,0.02222,0.000233897,0.000233897,0.000233897
2,78.4506,1.76607,5.57848,0.01329,1.60316,0.54234,0.21024,0.27684,0.13379,1.68393,2.63385,0.02059,0.000469561,0.000469561,0.000469561
3,107.432,1.79471,4.66327,0.01361,1.39764,0.60972,0.28457,0.31193,0.15461,1.80952,2.41412,0.02276,0.000702869,0.000702869,0.000702869
4,136.472,1.78656,3.76365,0.01381,1.29906,0.49952,0.42059,0.39026,0.19058,1.81073,2.04701,0.02438,0.000703397,0.000703397,0.000703397
5,165.661,1.78017,3.17157,0.01421,1.22765,0.58086,0.3841,0.39077,0.20133,1.72679,2.10678,0.02229,0.000699863,0.000699863,0.000699863
6,195.133,1.74937,2.76576,0.0136,1.17329,0.5717,0.47298,0.46519,0.23999,1.79153,1.89196,0.02363,0.000696328,0.000696328,0.000696328
7,224.389,1.74712,2.50658,0.01401,1.13741,0.57041,0.55291,0.54594,0.27328,1.80072,1.68371,0.02566,0.000692794,0.000692794,0.000692794
8,256.064,1.7593,2.28157,0.01337,1.09786,0.68853,0.4733,0.53825,0.26459,1.72569,1.81385,0.02356,0.00068926,0.00068926,0.00068926
9,288.843,1.72379,2.18726,0.01315,1.07453,0.63222,0.46134,0.55045,0.27644,1.78868,1.84781,0.02423,0.000685726,0.000685726,0.000685726
10,319.989,1.72456,2.06235,0.01388,1.04816,0.58104,0.56516,0.60812,0.30164,1.80984,1.66991,0.02465,0.000682191,0.000682191,0.000682191
11,352.021,1.71591,1.98638,0.01304,1.02085,0.60465,0.56338,0.60452,0.31676,1.6606,1.62649,0.02162,0.000678657,0.000678657,0.000678657
12,386.62,1.70389,1.84868,0.01272,1.00273,0.63106,0.57529,0.59684,0.31777,1.74779,1.48934,0.02277,0.000675123,0.000675123,0.000675123
13,423.344,1.68625,1.82245,0.01303,0.98261,0.53593,0.62757,0.60296,0.3234,1.7961,1.56167,0.02309,0.000671588,0.000671588,0.000671588
14,459.601,1.69436,1.78829,0.01262,0.95897,0.55924,0.65356,0.62921,0.31211,1.77222,1.52549,0.02264,0.000668054,0.000668054,0.000668054
15,495.808,1.69438,1.75384,0.01302,0.93939,0.5676,0.59562,0.62355,0.33334,1.69204,1.45188,0.02119,0.00066452,0.00066452,0.00066452
16,530.85,1.67972,1.70824,0.01304,0.92562,0.62203,0.58098,0.6382,0.33149,1.7588,1.62175,0.02268,0.000660986,0.000660986,0.000660986
17,564.107,1.6904,1.70687,0.01282,0.91229,0.5744,0.624,0.62146,0.32361,1.74396,1.45325,0.02133,0.000657451,0.000657451,0.000657451
18,596.572,1.68864,1.68207,0.01279,0.90092,0.7004,0.56002,0.64499,0.34089,1.76418,1.4283,0.02227,0.000653917,0.000653917,0.000653917
19,629.163,1.68582,1.6326,0.01279,0.88475,0.5813,0.61111,0.62676,0.33292,1.73396,1.49023,0.02223,0.000650383,0.000650383,0.000650383
20,661.457,1.69546,1.56653,0.01256,0.86483,0.59011,0.62258,0.64809,0.33259,1.82337,1.42135,0.02409,0.000646848,0.000646848,0.000646848
21,693.862,1.666,1.56453,0.01238,0.86054,0.602,0.67803,0.68465,0.35685,1.73914,1.3697,0.02209,0.000643314,0.000643314,0.000643314
22,726.694,1.64507,1.52126,0.01212,0.8417,0.56681,0.64228,0.6625,0.34588,1.70858,1.37856,0.02056,0.00063978,0.00063978,0.00063978
23,759.096,1.63709,1.5008,0.01241,0.83427,0.7713,0.55832,0.64895,0.34877,1.72809,1.35818,0.02202,0.000636245,0.000636245,0.000636245
24,791.493,1.64693,1.49816,0.01203,0.81996,0.70466,0.59979,0.6867,0.33914,1.78081,1.35646,0.02174,0.000632711,0.000632711,0.000632711
25,824.822,1.65585,1.47004,0.01213,0.811,0.58451,0.58307,0.63448,0.33842,1.75765,1.52214,0.02164,0.000629177,0.000629177,0.000629177
26,858.292,1.63988,1.47122,0.01179,0.79983,0.53101,0.60035,0.61883,0.34069,1.77711,1.46219,0.02222,0.000625642,0.000625642,0.000625642
27,892.944,1.68017,1.45723,0.01238,0.7953,0.54794,0.64214,0.65017,0.33204,1.84059,1.35088,0.02303,0.000622108,0.000622108,0.000622108
28,927.525,1.64598,1.418,0.01196,0.78054,0.66014,0.60363,0.65056,0.35588,1.71438,1.33902,0.02175,0.000618574,0.000618574,0.000618574
29,960.89,1.61716,1.35195,0.01191,0.77122,0.60588,0.64991,0.64123,0.35356,1.77514,1.3068,0.0227,0.00061504,0.00061504,0.00061504
30,993.64,1.62644,1.38792,0.01156,0.76492,0.7252,0.53935,0.65319,0.34758,1.75565,1.34477,0.02181,0.000611505,0.000611505,0.000611505
31,1026.39,1.63334,1.34526,0.01157,0.75368,0.61314,0.61245,0.64095,0.34379,1.7626,1.37111,0.02176,0.000607971,0.000607971,0.000607971
32,1059.04,1.61311,1.35782,0.01202,0.75309,0.63972,0.60777,0.66995,0.31925,1.93211,1.37266,0.02218,0.000604437,0.000604437,0.000604437
33,1091.22,1.60856,1.33467,0.0118,0.74423,0.60663,0.59471,0.63395,0.33428,1.79732,1.44806,0.02253,0.000600902,0.000600902,0.000600902
34,1123.71,1.63059,1.32948,0.0116,0.7395,0.70742,0.55606,0.65133,0.34285,1.8135,1.2662,0.02324,0.000597368,0.000597368,0.000597368
35,1156.02,1.62543,1.30359,0.01157,0.72772,0.59131,0.66399,0.65701,0.33268,1.87896,1.32428,0.02493,0.000593834,0.000593834,0.000593834
36,1188.5,1.61161,1.30102,0.0114,0.72184,0.74797,0.58317,0.69332,0.35466,1.80584,1.32171,0.0226,0.0005903,0.0005903,0.0005903
37,1220.99,1.59291,1.25625,0.01146,0.71174,0.58852,0.70296,0.68261,0.33239,1.86884,1.25662,0.0237,0.000586765,0.000586765,0.000586765
38,1253.14,1.6014,1.26698,0.01128,0.70728,0.64251,0.63321,0.66012,0.33681,1.85109,1.34471,0.02282,0.000583231,0.000583231,0.000583231
39,1285.53,1.5956,1.20904,0.01157,0.70427,0.65686,0.6428,0.67897,0.36335,1.78162,1.31073,0.02229,0.000579697,0.000579697,0.000579697
40,1317.74,1.58442,1.27482,0.01128,0.6988,0.59171,0.624,0.65725,0.34911,1.81131,1.35885,0.023,0.000576162,0.000576162,0.000576162
41,1349.02,1.56416,1.21542,0.01124,0.69548,0.62092,0.61651,0.64461,0.33299,1.90175,1.43804,0.02396,0.000572628,0.000572628,0.000572628
42,1378.68,1.59934,1.2222,0.01148,0.68715,0.65218,0.63177,0.67532,0.34066,1.86247,1.34881,0.02392,0.000569094,0.000569094,0.000569094
43,1407.83,1.59718,1.24891,0.01143,0.67607,0.74488,0.60651,0.71162,0.37585,1.82588,1.19834,0.02271,0.000565559,0.000565559,0.000565559
44,1436.62,1.56584,1.18902,0.01122,0.67747,0.64082,0.66361,0.69468,0.37175,1.78708,1.25218,0.02284,0.000562025,0.000562025,0.000562025
45,1471.19,1.57324,1.16469,0.01096,0.66859,0.55751,0.65519,0.63806,0.33012,1.85107,1.3113,0.02316,0.000558491,0.000558491,0.000558491
46,1507.44,1.54897,1.17861,0.01086,0.66754,0.73751,0.70458,0.71549,0.37818,1.77965,1.22738,0.02185,0.000554956,0.000554956,0.000554956
47,1543.66,1.57103,1.12408,0.01103,0.65992,0.65906,0.60828,0.68186,0.35315,1.82865,1.37771,0.02373,0.000551422,0.000551422,0.000551422
48,1579.85,1.54873,1.11804,0.01103,0.65813,0.65168,0.59544,0.66362,0.34967,1.78254,1.26405,0.02254,0.000547888,0.000547888,0.000547888
49,1616.16,1.54956,1.1237,0.01108,0.65647,0.68822,0.56697,0.63432,0.3301,1.94452,1.39234,0.0239,0.000544354,0.000544354,0.000544354
50,1652.48,1.5597,1.13828,0.01101,0.64616,0.7017,0.64452,0.67829,0.35435,1.8289,1.38797,0.02234,0.000540819,0.000540819,0.000540819
51,1688.73,1.55846,1.11442,0.0112,0.64361,0.69267,0.67575,0.71375,0.37519,1.8581,1.16666,0.02278,0.000537285,0.000537285,0.000537285
52,1725.03,1.54714,1.11996,0.01084,0.63923,0.70227,0.60424,0.68845,0.35792,1.85607,1.20904,0.02289,0.000533751,0.000533751,0.000533751
53,1761.26,1.54556,1.09804,0.01052,0.63262,0.75644,0.62766,0.70901,0.37165,1.86148,1.19434,0.02308,0.000530216,0.000530216,0.000530216
54,1797.41,1.53935,1.09982,0.01073,0.63115,0.67497,0.67417,0.70701,0.3692,1.79072,1.29602,0.02146,0.000526682,0.000526682,0.000526682
55,1833.7,1.52167,1.09669,0.0107,0.62455,0.63886,0.64644,0.65905,0.32615,1.98643,1.27799,0.0242,0.000523148,0.000523148,0.000523148
56,1869.84,1.52305,1.04622,0.01037,0.61746,0.63105,0.66681,0.70353,0.36651,1.78487,1.26643,0.02211,0.000519613,0.000519613,0.000519613
57,1906.11,1.50884,1.0567,0.01043,0.61868,0.73242,0.64257,0.73007,0.37206,1.87231,1.15942,0.02285,0.000516079,0.000516079,0.000516079
58,1942.34,1.52719,1.0483,0.01043,0.61605,0.64034,0.67073,0.68825,0.35691,1.86607,1.26101,0.02284,0.000512545,0.000512545,0.000512545
59,1978.51,1.52542,1.07539,0.01026,0.60829,0.57938,0.66067,0.66332,0.35251,1.85979,1.27983,0.02285,0.000509011,0.000509011,0.000509011
60,2014.61,1.51803,1.03577,0.01037,0.60478,0.59044,0.6219,0.61577,0.31602,1.89406,1.572,0.02411,0.000505476,0.000505476,0.000505476
61,2050.78,1.50872,1.00534,0.01056,0.60927,0.668,0.6532,0.67558,0.34406,1.93534,1.25923,0.02296,0.000501942,0.000501942,0.000501942
62,2086.75,1.4938,1.02937,0.01026,0.60313,0.7362,0.62463,0.67857,0.36279,1.83911,1.26954,0.02185,0.000498408,0.000498408,0.000498408
63,2122.88,1.47447,0.99701,0.00994,0.59983,0.66589,0.62094,0.68267,0.3662,1.85255,1.27667,0.02312,0.000494873,0.000494873,0.000494873
64,2159.17,1.48481,1.00312,0.01007,0.59818,0.68014,0.67879,0.71841,0.35491,1.92282,1.16797,0.02463,0.000491339,0.000491339,0.000491339
65,2195.47,1.49463,0.99177,0.01023,0.59202,0.63159,0.6707,0.68094,0.35304,1.89072,1.19868,0.02262,0.000487805,0.000487805,0.000487805
66,2231.71,1.46418,0.9606,0.01006,0.59034,0.69157,0.6525,0.69377,0.36698,1.87684,1.239,0.02284,0.000484271,0.000484271,0.000484271
67,2268,1.47805,0.96587,0.00962,0.58268,0.72847,0.64375,0.7058,0.38002,1.83713,1.25436,0.02316,0.000480736,0.000480736,0.000480736
68,2304.31,1.47323,0.94665,0.01005,0.58538,0.67181,0.68581,0.71746,0.38867,1.80699,1.22458,0.02231,0.000477202,0.000477202,0.000477202
69,2340.53,1.49204,0.9485,0.00983,0.57935,0.7057,0.66945,0.73434,0.39572,1.84048,1.191,0.02213,0.000473668,0.000473668,0.000473668
70,2377.33,1.44574,0.9419,0.01022,0.57897,0.69154,0.72009,0.72786,0.37156,1.86248,1.19892,0.02331,0.000470133,0.000470133,0.000470133
71,2413.47,1.46662,0.9433,0.00984,0.57534,0.76481,0.71278,0.75181,0.37928,1.85224,1.13572,0.02226,0.000466599,0.000466599,0.000466599
72,2449.77,1.45457,0.93519,0.00975,0.5716,0.70727,0.67731,0.72381,0.38334,1.81103,1.15926,0.02255,0.000463065,0.000463065,0.000463065
73,2486.71,1.46899,0.95992,0.00989,0.56659,0.70357,0.64311,0.70854,0.36759,1.87038,1.24003,0.02337,0.00045953,0.00045953,0.00045953
74,2521.81,1.45897,0.95039,0.00984,0.56856,0.7126,0.65352,0.67947,0.35721,1.82394,1.39129,0.02188,0.000455996,0.000455996,0.000455996
75,2556.01,1.46509,0.95672,0.01028,0.56491,0.73853,0.62625,0.71373,0.38938,1.88122,1.14168,0.02311,0.000452462,0.000452462,0.000452462
76,2592.51,1.43243,0.9126,0.0097,0.55884,0.67775,0.68578,0.69838,0.3718,1.89066,1.20032,0.02268,0.000448928,0.000448928,0.000448928
77,2628.87,1.45853,0.91676,0.0099,0.55577,0.70845,0.6582,0.69038,0.37163,1.87463,1.18249,0.02398,0.000445393,0.000445393,0.000445393
78,2665.53,1.41058,0.89674,0.00932,0.55646,0.62441,0.70386,0.70574,0.37347,1.89093,1.2283,0.02362,0.000441859,0.000441859,0.000441859
79,2696.17,1.42473,0.92254,0.0093,0.5529,0.70652,0.68324,0.71328,0.36475,1.88794,1.16141,0.02317,0.000438325,0.000438325,0.000438325
80,2726.18,1.43938,0.91738,0.00943,0.54859,0.69518,0.62634,0.68571,0.3678,1.82459,1.23231,0.0214,0.00043479,0.00043479,0.00043479
81,2756.2,1.40854,0.88957,0.0093,0.55241,0.75488,0.6107,0.69914,0.35947,1.87406,1.25382,0.02317,0.000431256,0.000431256,0.000431256
82,2786.25,1.4028,0.8806,0.00941,0.54504,0.71577,0.68497,0.72228,0.37621,1.88506,1.14608,0.02364,0.000427722,0.000427722,0.000427722
83,2816.48,1.41393,0.89119,0.00925,0.53972,0.66705,0.65686,0.6891,0.37707,1.85401,1.25878,0.0225,0.000424187,0.000424187,0.000424187
84,2846.49,1.38034,0.85611,0.00941,0.54483,0.64424,0.67248,0.68243,0.36339,1.90889,1.24487,0.02287,0.000420653,0.000420653,0.000420653
