epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8537,2.61882,4.28513,0.02612,0.54439,0.13818,0.13334,0.05177,2.74865,4.78333,0.04552,0.000233897,0.000233897,0.000233897
2,60.2547,2.0965,2.18105,0.01735,0.63243,0.47109,0.52082,0.25573,2.01222,1.65739,0.02795,0.000467225,0.000467225,0.000467225
3,79.1913,1.95772,1.9097,0.01555,0.54765,0.54007,0.54678,0.25682,2.08033,1.54456,0.02786,0.000695841,0.000695841,0.000695841
4,97.8486,1.85362,1.67718,0.01424,0.57189,0.57799,0.5957,0.31618,1.88509,1.37979,0.02519,0.000692794,0.000692794,0.000692794
5,116.681,1.85178,1.53814,0.01418,0.58632,0.55952,0.57714,0.29555,1.99543,1.40327,0.02615,0.000685726,0.000685726,0.000685726
6,134.886,1.80908,1.46945,0.01329,0.61309,0.56989,0.63652,0.32563,1.86935,1.24447,0.02396,0.000678657,0.000678657,0.000678657
7,154.258,1.7798,1.43442,0.01367,0.558,0.60674,0.61092,0.31336,1.90247,1.32482,0.02514,0.000671588,0.000671588,0.000671588
8,172.868,1.77319,1.40291,0.01273,0.57982,0.55465,0.60591,0.29677,1.95314,1.34773,0.02649,0.00066452,0.00066452,0.00066452
9,190.498,1.76638,1.35217,0.01306,0.58246,0.6362,0.66882,0.33137,1.91844,1.20248,0.02504,0.000657451,0.000657451,0.000657451
10,209.361,1.72372,1.29851,0.01284,0.56594,0.65316,0.66197,0.32541,1.89395,1.17956,0.02391,0.000650383,0.000650383,0.000650383
11,229.084,1.73094,1.31006,0.01245,0.52507,0.5548,0.59415,0.31822,1.94012,1.40159,0.02488,0.000643314,0.000643314,0.000643314
12,248.05,1.69875,1.25371,0.01207,0.64748,0.56995,0.63389,0.32615,1.90765,1.24443,0.02493,0.000636245,0.000636245,0.000636245
13,264.937,1.67429,1.19919,0.01234,0.56124,0.61432,0.60859,0.2984,1.99702,1.30024,0.02473,0.000629177,0.000629177,0.000629177
14,280.952,1.67193,1.19296,0.01196,0.76715,0.59005,0.64852,0.32435,1.91343,1.2373,0.02447,0.000622108,0.000622108,0.000622108
15,296.667,1.65757,1.20554,0.01201,0.58486,0.63895,0.62556,0.33976,1.90111,1.28922,0.02438,0.00061504,0.00061504,0.00061504
16,313.634,1.63149,1.1306,0.01195,0.69405,0.59804,0.64157,0.32331,1.91695,1.24643,0.02405,0.000607971,0.000607971,0.000607971
17,331.322,1.64608,1.16314,0.01147,0.69099,0.58911,0.63897,0.33364,1.93414,1.21019,0.02494,0.000600902,0.000600902,0.000600902
18,350.125,1.64477,1.19451,0.01183,0.69985,0.63252,0.68225,0.35057,1.9542,1.14455,0.02565,0.000593834,0.000593834,0.000593834
19,367.599,1.63439,1.15534,0.01203,0.71924,0.56367,0.69404,0.347,1.92524,1.25306,0.02453,0.000586765,0.000586765,0.000586765
20,384.684,1.6304,1.14781,0.01163,0.66794,0.60341,0.66149,0.35005,1.8872,1.18503,0.02348,0.000579697,0.000579697,0.000579697
21,401.962,1.62731,1.14628,0.01146,0.66543,0.61778,0.68364,0.35456,1.88004,1.1891,0.02463,0.000572628,0.000572628,0.000572628
22,419.402,1.58796,1.06489,0.01105,0.71233,0.63989,0.68129,0.37025,1.8359,1.16449,0.02296,0.000565559,0.000565559,0.000565559
23,436.632,1.58838,1.05632,0.01146,0.58151,0.60255,0.62151,0.33096,1.87999,1.29067,0.02332,0.000558491,0.000558491,0.000558491
24,453.686,1.57515,1.0758,0.01104,0.70732,0.55031,0.6147,0.32611,1.87668,1.32307,0.02379,0.000551422,0.000551422,0.000551422
