epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1454,2.60601,4.18117,0.02589,1.87019,0.64759,0.13525,0.14921,0.05893,2.40103,4.44707,0.03861,0.000233897,0.000233897,0.000233897
2,81.6047,2.06551,2.16282,0.01689,1.47456,0.69002,0.45082,0.49056,0.23059,2.04228,1.62472,0.02789,0.000467225,0.000467225,0.000467225
3,111.326,1.98589,1.87054,0.01582,1.3136,0.69154,0.5001,0.54366,0.25656,2.02192,1.4988,0.02798,0.000695841,0.000695841,0.000695841
4,141.339,1.87335,1.65659,0.01412,1.23277,0.54755,0.57042,0.57594,0.27688,1.99171,1.41041,0.02793,0.000692794,0.000692794,0.000692794
5,171.511,1.86468,1.54977,0.01421,1.16926,0.48649,0.60927,0.6099,0.30467,1.97583,1.32398,0.02657,0.000685726,0.000685726,0.000685726
6,200.122,1.82723,1.45366,0.01347,1.12473,0.6156,0.67509,0.69562,0.35384,1.91722,1.13897,0.02405,0.000678657,0.000678657,0.000678657
7,232.664,1.76532,1.44448,0.01362,1.09614,0.59951,0.6428,0.67644,0.3436,1.90198,1.2284,0.02418,0.000671588,0.000671588,0.000671588
8,264.045,1.80175,1.39341,0.01308,1.0635,0.62513,0.61001,0.65019,0.3267,2.00339,1.2214,0.02629,0.00066452,0.00066452,0.00066452
9,297.652,1.76068,1.31989,0.01285,1.04608,0.54242,0.58665,0.6171,0.31572,1.91873,1.32078,0.02507,0.000657451,0.000657451,0.000657451
10,328.577,1.71779,1.26401,0.01284,1.0236,0.59811,0.60969,0.65277,0.34192,1.93889,1.20466,0.02469,0.000650383,0.000650383,0.000650383
11,358.981,1.7145,1.26546,0.01223,0.99978,0.77993,0.63009,0.69356,0.34319,1.88574,1.21223,0.02211,0.000643314,0.000643314,0.000643314
12,388.55,1.70135,1.20825,0.01211,0.9851,0.60934,0.62688,0.63012,0.31283,1.9874,1.28221,0.02565,0.000636245,0.000636245,0.000636245
13,419.534,1.66875,1.16802,0.01242,0.96869,0.55432,0.63102,0.62336,0.30744,1.96288,1.30549,0.02389,0.000629177,0.000629177,0.000629177
14,450.343,1.65466,1.1611,0.01167,0.94714,0.56493,0.68065,0.65617,0.34632,1.87471,1.22997,0.02338,0.000622108,0.000622108,0.000622108
15,479.506,1.64311,1.1614,0.01192,0.93281,0.72206,0.63187,0.69031,0.34293,1.96922,1.25025,0.02609,0.00061504,0.00061504,0.00061504
16,507.936,1.63053,1.11057,0.01197,0.91806,0.62691,0.64101,0.68497,0.3479,1.94243,1.20678,0.02397,0.000607971,0.000607971,0.000607971
17,538.291,1.63803,1.14922,0.01152,0.90739,0.70243,0.62376,0.68561,0.35827,1.9023,1.22674,0.02454,0.000600902,0.000600902,0.000600902
