epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0961,2.00017,5.47559,0.01572,0.66674,0.2587,0.30068,0.13743,1.96691,2.72821,0.02717,0.000235948,0.000235948,0.000235948
2,111.587,2.06888,2.68263,0.01721,0.68101,0.29241,0.31298,0.1391,2.16589,2.65507,0.03192,0.000471602,0.000471602,0.000471602
3,157.038,2.08748,2.35104,0.01768,0.63975,0.36537,0.38829,0.16425,2.07691,2.59682,0.0291,0.0007049,0.0007049,0.0007049
4,202.352,2.08081,2.26183,0.01793,0.36096,0.34986,0.30648,0.1398,2.37724,4.5943,0.03551,0.000703397,0.000703397,0.000703397
5,247.44,2.03995,2.09493,0.01706,0.66899,0.53624,0.50481,0.23904,2.03051,2.02483,0.02953,0.000699863,0.000699863,0.000699863
6,292.599,1.97801,1.98089,0.01632,0.5746,0.53476,0.5144,0.22955,2.00656,1.84138,0.02895,0.000696328,0.000696328,0.000696328
7,337.063,1.98963,1.96715,0.01614,0.57532,0.54882,0.49923,0.24308,1.95929,2.3065,0.02547,0.000692794,0.000692794,0.000692794
8,382.594,1.97904,1.87517,0.01608,0.78548,0.48085,0.59719,0.28284,1.96083,1.71163,0.02897,0.00068926,0.00068926,0.00068926
9,427.559,1.94245,1.81923,0.01545,0.57506,0.5322,0.51718,0.25205,1.97953,1.92422,0.02997,0.000685726,0.000685726,0.000685726
10,471.899,1.90008,1.79102,0.01511,0.56005,0.56634,0.59707,0.303,1.81647,1.65297,0.02298,0.000682191,0.000682191,0.000682191
11,516.9,1.92713,1.77851,0.01523,0.54589,0.61755,0.61952,0.31649,1.83446,1.61868,0.02365,0.000678657,0.000678657,0.000678657
12,561.744,1.90631,1.74296,0.01513,0.68097,0.5575,0.62988,0.29105,1.9287,1.60764,0.02586,0.000675123,0.000675123,0.000675123
13,605.916,1.88407,1.66034,0.01483,0.66489,0.52196,0.57435,0.3006,1.88358,1.63671,0.02597,0.000671588,0.000671588,0.000671588
14,649.73,1.8808,1.68494,0.01503,0.56718,0.60495,0.61577,0.3317,1.83054,1.5762,0.02468,0.000668054,0.000668054,0.000668054
15,694.616,1.86313,1.61548,0.01485,0.50283,0.6567,0.65569,0.32685,1.85592,1.54951,0.02563,0.00066452,0.00066452,0.00066452
16,738.572,1.83258,1.63054,0.0139,0.51401,0.58439,0.60628,0.30506,1.89751,1.64276,0.02476,0.000660986,0.000660986,0.000660986
17,782.647,1.84238,1.6051,0.01403,0.54683,0.63946,0.63118,0.33432,1.77067,1.52307,0.02353,0.000657451,0.000657451,0.000657451
18,827.178,1.8201,1.56292,0.01385,0.55514,0.64804,0.64837,0.32718,1.82626,1.46155,0.02516,0.000653917,0.000653917,0.000653917
19,871.117,1.81571,1.53984,0.01392,0.69229,0.59265,0.67615,0.35151,1.83761,1.39641,0.02626,0.000650383,0.000650383,0.000650383
20,915.668,1.81338,1.47313,0.01341,0.53065,0.5951,0.63728,0.34621,1.84331,1.43058,0.02409,0.000646848,0.000646848,0.000646848
21,959.673,1.84173,1.53717,0.01343,0.65406,0.6614,0.69874,0.35695,1.8742,1.30476,0.0245,0.000643314,0.000643314,0.000643314
22,1004.27,1.78835,1.44155,0.01339,0.65596,0.71449,0.69125,0.34052,1.85712,1.37166,0.02365,0.00063978,0.00063978,0.00063978
23,1048.29,1.79792,1.4859,0.01379,0.61695,0.55017,0.6214,0.31766,1.76299,1.55783,0.02225,0.000636245,0.000636245,0.000636245
24,1092.24,1.81975,1.47101,0.01373,0.71308,0.64264,0.73023,0.37988,1.77123,1.37811,0.02171,0.000632711,0.000632711,0.000632711
25,1136.92,1.79146,1.45601,0.01327,0.66261,0.60802,0.69333,0.34841,1.84522,1.35292,0.02285,0.000629177,0.000629177,0.000629177
26,1180.79,1.80417,1.47895,0.01335,0.65739,0.67724,0.69505,0.36011,1.80032,1.32282,0.02286,0.000625642,0.000625642,0.000625642
27,1224.87,1.74666,1.4182,0.01316,0.66413,0.63105,0.69392,0.36044,1.77887,1.31825,0.02295,0.000622108,0.000622108,0.000622108
28,1268.94,1.76277,1.39253,0.01346,0.63307,0.67399,0.72241,0.38302,1.79524,1.32198,0.0242,0.000618574,0.000618574,0.000618574
29,1314.83,1.77285,1.36569,0.01337,0.81163,0.59195,0.69555,0.35215,1.83614,1.26585,0.02353,0.00061504,0.00061504,0.00061504
30,1360.11,1.76074,1.34433,0.01274,0.62927,0.68594,0.68756,0.34264,1.86324,1.34259,0.02577,0.000611505,0.000611505,0.000611505
31,1405.02,1.74885,1.30783,0.01339,0.6529,0.70834,0.73002,0.38336,1.80946,1.26253,0.0241,0.000607971,0.000607971,0.000607971
32,1450.52,1.72551,1.328,0.01321,0.69552,0.68831,0.71755,0.35194,1.86622,1.22953,0.02387,0.000604437,0.000604437,0.000604437
33,1495.64,1.7459,1.30082,0.01301,0.78302,0.54551,0.67979,0.32243,1.92631,1.46911,0.02582,0.000600902,0.000600902,0.000600902
34,1540.37,1.71312,1.29418,0.01292,0.66483,0.67841,0.69359,0.35768,1.85751,1.23434,0.02419,0.000597368,0.000597368,0.000597368
35,1586.1,1.73024,1.32629,0.01282,0.77468,0.56842,0.67099,0.34773,1.88468,1.35637,0.02488,0.000593834,0.000593834,0.000593834
36,1631.76,1.72119,1.26242,0.0128,0.67086,0.58305,0.66657,0.35543,1.86899,1.25467,0.02492,0.0005903,0.0005903,0.0005903
37,1677.55,1.70784,1.27088,0.01279,0.61762,0.72988,0.69974,0.33973,1.93987,1.23872,0.02584,0.000586765,0.000586765,0.000586765
38,1722.47,1.72396,1.27676,0.01269,0.64796,0.67871,0.69051,0.34626,1.90476,1.28587,0.02469,0.000583231,0.000583231,0.000583231
39,1766.96,1.71676,1.26357,0.01278,0.62218,0.67508,0.68825,0.3543,1.87928,1.17423,0.02383,0.000579697,0.000579697,0.000579697
40,1811.55,1.71391,1.271,0.01286,0.69364,0.65243,0.68811,0.36028,1.90707,1.32771,0.02532,0.000576162,0.000576162,0.000576162
41,1856.04,1.69438,1.23975,0.012,0.62066,0.73462,0.71438,0.37683,1.8333,1.1953,0.02368,0.000572628,0.000572628,0.000572628
42,1900.65,1.68457,1.21461,0.01252,0.68315,0.68129,0.72346,0.38067,1.85344,1.13141,0.02425,0.000569094,0.000569094,0.000569094
43,1945.1,1.68282,1.1577,0.01208,0.65721,0.62837,0.70649,0.3877,1.79277,1.28557,0.02341,0.000565559,0.000565559,0.000565559
44,1990.24,1.67897,1.19682,0.01236,0.67009,0.74767,0.77687,0.397,1.78868,1.2665,0.02243,0.000562025,0.000562025,0.000562025
45,2035.34,1.67151,1.1609,0.01211,0.56562,0.69039,0.70292,0.36761,1.86047,1.20443,0.02388,0.000558491,0.000558491,0.000558491
46,2079.7,1.67234,1.17855,0.01198,0.68838,0.71737,0.73111,0.36339,1.97131,1.37678,0.02459,0.000554956,0.000554956,0.000554956
47,2124.03,1.65457,1.20429,0.01204,0.78282,0.62103,0.71489,0.38868,1.77379,1.2931,0.0228,0.000551422,0.000551422,0.000551422
48,2168.43,1.64911,1.16153,0.01171,0.62355,0.69101,0.72233,0.36388,1.87948,1.19074,0.02561,0.000547888,0.000547888,0.000547888
49,2212.93,1.66618,1.16998,0.01185,0.75534,0.66735,0.7355,0.38012,1.88873,1.17119,0.02461,0.000544354,0.000544354,0.000544354
50,2257.28,1.6438,1.1542,0.01179,0.69509,0.68081,0.72602,0.38076,1.83659,1.26647,0.02366,0.000540819,0.000540819,0.000540819
51,2301.64,1.64942,1.17417,0.01194,0.6986,0.63065,0.68477,0.35004,1.85521,1.50616,0.02529,0.000537285,0.000537285,0.000537285
52,2345.99,1.62865,1.12884,0.01188,0.70446,0.66485,0.71195,0.3676,1.96264,1.31715,0.02701,0.000533751,0.000533751,0.000533751
53,2390.36,1.64925,1.15339,0.01199,0.59358,0.64148,0.66117,0.32624,1.91885,1.40908,0.02651,0.000530216,0.000530216,0.000530216
54,2435.47,1.63065,1.14568,0.01196,0.63671,0.6664,0.66763,0.35924,1.89627,1.34968,0.02499,0.000526682,0.000526682,0.000526682
55,2481.07,1.6435,1.10641,0.0119,0.64029,0.73715,0.73632,0.39739,1.87686,1.14818,0.02367,0.000523148,0.000523148,0.000523148
56,2526.96,1.60676,1.10205,0.01168,0.67318,0.73423,0.75997,0.40176,1.82511,1.17936,0.02319,0.000519613,0.000519613,0.000519613
57,2573.22,1.61246,1.09265,0.01144,0.64592,0.73203,0.72247,0.38452,1.96782,1.21754,0.02764,0.000516079,0.000516079,0.000516079
