epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.194,2.09036,7.27314,0.0171,0.00348,0.68735,0.16547,0.08299,1.71602,3.50031,0.02336,0.000233897,0.000233897,0.000233897
2,49.354,1.80207,5.61671,0.01362,0.667,0.22689,0.29057,0.15688,1.6353,2.55877,0.0206,0.000469561,0.000469561,0.000469561
3,64.694,1.78258,4.73516,0.01362,0.49771,0.30342,0.30597,0.14373,1.83344,2.45895,0.02335,0.000702869,0.000702869,0.000702869
4,81.3447,1.76291,3.82809,0.01373,0.62095,0.32836,0.3772,0.17493,1.81719,2.23062,0.02434,0.000703397,0.000703397,0.000703397
5,97.9451,1.79292,3.2118,0.01424,0.52549,0.40352,0.39115,0.20376,1.79039,2.021,0.02416,0.000699863,0.000699863,0.000699863
6,114.209,1.77586,2.79563,0.01397,0.58686,0.4728,0.464,0.23822,1.76957,1.8956,0.02304,0.000696328,0.000696328,0.000696328
7,129.731,1.75155,2.50307,0.01429,0.63244,0.53298,0.56183,0.26809,1.85937,1.68961,0.0265,0.000692794,0.000692794,0.000692794
8,145.074,1.76525,2.32904,0.01358,0.62889,0.48213,0.51159,0.24201,1.905,1.79789,0.02604,0.00068926,0.00068926,0.00068926
9,160.297,1.71915,2.19914,0.01343,0.67332,0.50256,0.55071,0.27819,1.76207,1.66423,0.0221,0.000685726,0.000685726,0.000685726
10,176.836,1.73557,2.05285,0.01399,0.59281,0.57738,0.58755,0.29925,1.7238,1.57755,0.02154,0.000682191,0.000682191,0.000682191
11,193.596,1.74223,2.01515,0.01342,0.61791,0.61142,0.59364,0.30717,1.77668,1.60281,0.0228,0.000678657,0.000678657,0.000678657
12,209.624,1.73376,1.89435,0.01307,0.66597,0.49422,0.53977,0.26415,1.81809,1.6609,0.0232,0.000675123,0.000675123,0.000675123
13,225.479,1.71611,1.86227,0.01348,0.59989,0.51442,0.60196,0.30637,1.80734,1.57796,0.02363,0.000671588,0.000671588,0.000671588
14,241.28,1.69173,1.81872,0.0127,0.52154,0.53728,0.59888,0.30392,1.78791,1.63334,0.02315,0.000668054,0.000668054,0.000668054
15,257.087,1.7024,1.80561,0.01318,0.53839,0.60205,0.60273,0.31907,1.75644,1.43279,0.02185,0.00066452,0.00066452,0.00066452
16,272.743,1.68715,1.70443,0.01333,0.53179,0.63414,0.58422,0.31233,1.75712,1.50982,0.0225,0.000660986,0.000660986,0.000660986
17,288.184,1.7096,1.70383,0.01285,0.64266,0.58917,0.63029,0.34016,1.70724,1.41001,0.02138,0.000657451,0.000657451,0.000657451
18,303.543,1.71194,1.67821,0.01295,0.68251,0.5291,0.59886,0.29793,1.79493,1.47158,0.0231,0.000653917,0.000653917,0.000653917
19,318.9,1.6949,1.67284,0.01325,0.6055,0.61609,0.65108,0.33751,1.79481,1.32886,0.02345,0.000650383,0.000650383,0.000650383
20,335.159,1.70063,1.61053,0.01274,0.49072,0.5974,0.60148,0.32129,1.7512,1.5605,0.02142,0.000646848,0.000646848,0.000646848
21,351.937,1.66696,1.59128,0.01253,0.54396,0.64654,0.63577,0.34103,1.75822,1.43098,0.02263,0.000643314,0.000643314,0.000643314
22,367.873,1.65505,1.53934,0.01216,0.62086,0.55578,0.63276,0.34636,1.7349,1.39298,0.02129,0.00063978,0.00063978,0.00063978
23,383.423,1.67479,1.50246,0.01284,0.62501,0.48392,0.59637,0.31907,1.7689,1.42124,0.02436,0.000636245,0.000636245,0.000636245
24,398.917,1.67121,1.50271,0.01237,0.61616,0.61466,0.62979,0.3204,1.82281,1.54703,0.02366,0.000632711,0.000632711,0.000632711
25,414.183,1.65636,1.51175,0.01224,0.68302,0.65054,0.70103,0.36441,1.72209,1.40936,0.02116,0.000629177,0.000629177,0.000629177
26,430.699,1.66481,1.47257,0.01197,0.65703,0.60082,0.64034,0.33835,1.77585,1.40826,0.0232,0.000625642,0.000625642,0.000625642
27,446.626,1.68896,1.47546,0.01238,0.72069,0.58599,0.70056,0.3588,1.80611,1.37167,0.02173,0.000622108,0.000622108,0.000622108
