epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2192,2.21034,11.3917,0.01891,0.4537,0.21399,0.18638,0.08162,2.2271,3.5158,0.03448,0.000233897,0.000233897,0.000233897
2,67.5671,1.89731,3.48191,0.01523,0.68562,0.36561,0.3645,0.1789,1.90582,2.55729,0.02557,0.000469561,0.000469561,0.000469561
3,91.1406,1.94544,2.62379,0.01581,0.55899,0.5117,0.55233,0.24321,1.98665,1.98107,0.0277,0.000702869,0.000702869,0.000702869
4,114.906,1.90914,2.24473,0.01563,0.52358,0.47675,0.51656,0.23099,1.91549,1.88007,0.02734,0.000703397,0.000703397,0.000703397
5,138.474,1.92524,2.10095,0.01587,0.52768,0.47453,0.47392,0.23279,1.89085,1.95544,0.02533,0.000699863,0.000699863,0.000699863
6,162.146,1.91308,1.95254,0.01537,0.48539,0.47159,0.45712,0.21475,2.03839,1.82807,0.0285,0.000696328,0.000696328,0.000696328
7,185.643,1.87551,1.86396,0.01542,0.55677,0.54334,0.5773,0.26447,2.03794,1.62601,0.027,0.000692794,0.000692794,0.000692794
8,209.152,1.91676,1.79065,0.01533,0.48716,0.53069,0.52275,0.25448,2.00592,1.70215,0.02574,0.00068926,0.00068926,0.00068926
9,232.377,1.86841,1.73507,0.01484,0.62899,0.58107,0.62466,0.30954,1.83985,1.46058,0.02375,0.000685726,0.000685726,0.000685726
10,256.016,1.79273,1.67353,0.01433,0.60921,0.6672,0.67368,0.32428,1.83749,1.46261,0.02387,0.000682191,0.000682191,0.000682191
11,279.66,1.82891,1.65137,0.01406,0.72665,0.54468,0.64051,0.32226,1.82816,1.58963,0.02422,0.000678657,0.000678657,0.000678657
12,302.878,1.79682,1.59879,0.0136,0.61951,0.67504,0.7097,0.34118,1.83232,1.37697,0.02599,0.000675123,0.000675123,0.000675123
13,326.457,1.78632,1.55835,0.01397,0.647,0.62551,0.65928,0.33883,1.77689,1.40616,0.0218,0.000671588,0.000671588,0.000671588
14,350.088,1.788,1.5491,0.01377,0.59888,0.65068,0.67263,0.33735,1.84336,1.36664,0.02281,0.000668054,0.000668054,0.000668054
15,373.638,1.7881,1.51877,0.01395,0.58292,0.66977,0.67842,0.35877,1.83905,1.27967,0.02291,0.00066452,0.00066452,0.00066452
16,397.363,1.78056,1.47438,0.0143,0.55514,0.64151,0.6616,0.34028,1.84521,1.42137,0.02328,0.000660986,0.000660986,0.000660986
17,420.919,1.80878,1.50763,0.01393,0.68205,0.62516,0.68172,0.35957,1.79225,1.30087,0.0229,0.000657451,0.000657451,0.000657451
