epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.694,1.70067,5.24973,0.02681,0.62595,0.05524,0.04719,0.01844,2.89761,4.27738,0.07698,0.000325926,0.000325926,0.000325926
2,638.615,1.67821,2.58906,0.02629,0.35181,0.09768,0.10466,0.03132,2.17938,3.31359,0.055,0.000655996,0.000655996,0.000655996
3,1109.57,1.68175,2.35779,0.02599,0.60996,0.05159,0.0437,0.01345,2.2743,4.88229,0.0579,0.000982766,0.000982766,0.000982766
4,1507.18,1.75256,2.15303,0.02788,0.24145,0.19546,0.05315,0.01652,2.94802,5.28337,0.07872,0.00098515,0.00098515,0.00098515
5,1862.17,1.75175,2.07088,0.02681,0.32934,0.32017,0.21375,0.07556,2.21797,3.14282,0.05596,0.0009802,0.0009802,0.0009802
6,2274.59,1.70299,1.93223,0.02587,0.3825,0.37077,0.22548,0.07389,2.538,4.60991,0.06541,0.00097525,0.00097525,0.00097525
7,3106.81,1.69271,1.84432,0.02569,0.48942,0.30015,0.29349,0.13019,2.17192,2.79082,0.05586,0.0009703,0.0009703,0.0009703
8,3530.23,1.62724,1.77126,0.02437,0.58906,0.28459,0.29389,0.10443,2.37078,3.22537,0.05983,0.00096535,0.00096535,0.00096535
9,4071.46,1.62595,1.75235,0.02394,0.49459,0.58641,0.58377,0.25442,1.81059,1.64168,0.04465,0.0009604,0.0009604,0.0009604
10,4433.4,1.64903,1.75173,0.02545,0.47821,0.51584,0.48443,0.1993,1.86642,2.01827,0.04401,0.00095545,0.00095545,0.00095545
11,5004.93,1.63383,1.7262,0.02444,0.45712,0.45206,0.4469,0.18303,1.98616,2.06875,0.04758,0.0009505,0.0009505,0.0009505
12,5358.84,1.63131,1.73644,0.0249,0.50109,0.59318,0.56705,0.21984,1.99336,1.75581,0.04664,0.00094555,0.00094555,0.00094555
13,5721.79,1.60439,1.67607,0.02364,0.53881,0.57149,0.5666,0.25918,1.68036,1.71938,0.04049,0.0009406,0.0009406,0.0009406
