epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5891,1.62793,4.60084,0.02543,0.40284,0.08467,0.11039,0.04646,2.34451,3.38285,0.06022,0.00032963,0.00032963,0.00032963
2,83.4545,1.72226,2.66217,0.02746,0.14528,0.2072,0.13908,0.05729,2.4482,3.32358,0.06219,0.000659681,0.000659681,0.000659681
3,120.183,1.73419,2.4186,0.02696,0.3498,0.32524,0.17517,0.05842,2.09817,3.87874,0.05204,0.000986433,0.000986433,0.000986433
4,156.189,1.79446,2.24175,0.02888,0.29316,0.27855,0.15898,0.05089,2.22024,3.67408,0.05786,0.00098515,0.00098515,0.00098515
5,191.658,1.75623,2.07472,0.02758,0.46965,0.41279,0.35507,0.13238,2.04596,2.37543,0.04926,0.0009802,0.0009802,0.0009802
6,227.798,1.71703,1.99863,0.02674,0.51358,0.3951,0.38993,0.15094,2.04262,2.37278,0.04985,0.00097525,0.00097525,0.00097525
7,264.092,1.69146,1.94489,0.02576,0.53809,0.32864,0.36301,0.14649,1.96047,2.48022,0.04573,0.0009703,0.0009703,0.0009703
8,299.419,1.65624,1.85488,0.02542,0.65463,0.45525,0.54159,0.21705,1.93567,1.844,0.04758,0.00096535,0.00096535,0.00096535
9,335.671,1.65608,1.84366,0.02507,0.3881,0.53264,0.49591,0.22724,1.79496,2.06992,0.0425,0.0009604,0.0009604,0.0009604
10,371.781,1.67513,1.82299,0.02593,0.63159,0.52592,0.57576,0.25364,1.82168,1.81343,0.0447,0.00095545,0.00095545,0.00095545
11,408.045,1.66373,1.74327,0.02548,0.70163,0.44734,0.50514,0.20604,1.86593,1.98569,0.04609,0.0009505,0.0009505,0.0009505
12,443.302,1.65188,1.75891,0.02508,0.59745,0.53935,0.59221,0.27672,1.72162,1.68958,0.04178,0.00094555,0.00094555,0.00094555
13,479.35,1.63477,1.71548,0.02468,0.51184,0.47738,0.48351,0.20547,1.97084,2.08516,0.04898,0.0009406,0.0009406,0.0009406
14,514.981,1.5933,1.68772,0.02386,0.49501,0.53212,0.53604,0.23246,1.828,1.85786,0.04276,0.00093565,0.00093565,0.00093565
15,550.364,1.58223,1.65648,0.0238,0.45874,0.58113,0.49995,0.2047,1.90497,1.80956,0.0461,0.0009307,0.0009307,0.0009307
16,585.933,1.59827,1.63053,0.02394,0.45267,0.56554,0.52758,0.24153,1.86794,1.76284,0.04523,0.00092575,0.00092575,0.00092575
17,621.519,1.61306,1.61774,0.02441,0.51128,0.57254,0.58337,0.26852,1.74248,1.67078,0.04293,0.0009208,0.0009208,0.0009208
18,657.339,1.59516,1.61138,0.02431,0.47868,0.60739,0.55543,0.23044,1.87608,1.71471,0.0433,0.00091585,0.00091585,0.00091585
19,693.152,1.56412,1.54181,0.0233,0.60128,0.62884,0.64873,0.29651,1.7208,1.49556,0.04043,0.0009109,0.0009109,0.0009109
20,730.034,1.55818,1.53957,0.02279,0.61037,0.65524,0.64171,0.28392,1.80399,1.55746,0.04304,0.00090595,0.00090595,0.00090595
21,765.755,1.58079,1.48884,0.02363,0.59426,0.62532,0.65301,0.31598,1.73567,1.52844,0.0402,0.000901,0.000901,0.000901
22,802.19,1.59844,1.54784,0.02424,0.48161,0.6011,0.59761,0.24958,1.98397,1.64631,0.04863,0.00089605,0.00089605,0.00089605
23,837.976,1.58636,1.4998,0.02369,0.58049,0.62076,0.64634,0.31444,1.69357,1.51535,0.03912,0.0008911,0.0008911,0.0008911
24,874.011,1.54406,1.50529,0.02293,0.55165,0.57483,0.63432,0.30119,1.76898,1.63,0.04243,0.00088615,0.00088615,0.00088615
25,910.054,1.55369,1.51421,0.02324,0.62294,0.59958,0.64121,0.30063,1.74394,1.55136,0.04113,0.0008812,0.0008812,0.0008812
26,945.913,1.53826,1.48305,0.02258,0.59388,0.6251,0.65437,0.2811,1.84132,1.51504,0.04317,0.00087625,0.00087625,0.00087625
27,981.616,1.55833,1.45722,0.02326,0.6232,0.64878,0.70708,0.32158,1.76196,1.44902,0.04543,0.0008713,0.0008713,0.0008713
28,1017.74,1.56387,1.46071,0.02337,0.54427,0.53989,0.56555,0.2552,2.06872,1.82245,0.04641,0.00086635,0.00086635,0.00086635
29,1053.44,1.55064,1.49775,0.0229,0.62721,0.63208,0.66709,0.31856,1.688,1.5343,0.03917,0.0008614,0.0008614,0.0008614
30,1088.98,1.51554,1.4517,0.0223,0.60289,0.61054,0.64596,0.30509,1.71439,1.46178,0.0406,0.00085645,0.00085645,0.00085645
31,1124.56,1.50574,1.40364,0.02165,0.64284,0.7077,0.70517,0.33483,1.72855,1.3438,0.04084,0.0008515,0.0008515,0.0008515
32,1160.93,1.54157,1.43933,0.02247,0.65361,0.61295,0.64083,0.30011,1.7404,1.48952,0.04243,0.00084655,0.00084655,0.00084655
33,1196.88,1.49181,1.41275,0.02291,0.50346,0.39883,0.38133,0.17511,1.93706,2.37417,0.04694,0.0008416,0.0008416,0.0008416
34,1232.67,1.48788,1.40093,0.02176,0.569,0.59054,0.61463,0.26666,1.90281,1.5633,0.04342,0.00083665,0.00083665,0.00083665
35,1268.27,1.49205,1.40953,0.0218,0.65066,0.65984,0.69788,0.34113,1.71285,1.39113,0.03998,0.0008317,0.0008317,0.0008317
36,1305.01,1.47455,1.38865,0.02176,0.70941,0.66872,0.69845,0.33262,1.67753,1.42139,0.04007,0.00082675,0.00082675,0.00082675
37,1340.71,1.48446,1.38031,0.02194,0.63806,0.67214,0.6892,0.33181,1.69262,1.42145,0.03866,0.0008218,0.0008218,0.0008218
38,1376.21,1.49678,1.35315,0.02197,0.62775,0.62727,0.67681,0.32367,1.75358,1.35694,0.0421,0.00081685,0.00081685,0.00081685
39,1411.73,1.47419,1.35882,0.02129,0.64627,0.69575,0.73125,0.35672,1.67457,1.31362,0.03894,0.0008119,0.0008119,0.0008119
40,1448.08,1.47624,1.34457,0.02179,0.66835,0.617,0.66467,0.31791,1.77767,1.43467,0.04247,0.00080695,0.00080695,0.00080695
41,1483.75,1.4807,1.35983,0.02168,0.62158,0.6725,0.70076,0.35525,1.64571,1.32748,0.03827,0.000802,0.000802,0.000802
42,1519.38,1.48968,1.34349,0.02165,0.64314,0.65809,0.69746,0.33865,1.69422,1.31918,0.03891,0.00079705,0.00079705,0.00079705
43,1555.53,1.47205,1.3328,0.02145,0.63157,0.59056,0.62602,0.30058,1.85042,1.63621,0.04253,0.0007921,0.0007921,0.0007921
44,1591.56,1.4622,1.29587,0.02109,0.70567,0.64421,0.71959,0.34498,1.67855,1.33293,0.03826,0.00078715,0.00078715,0.00078715
45,1626.85,1.4623,1.33235,0.02133,0.63126,0.65047,0.7117,0.34944,1.68996,1.33476,0.0411,0.0007822,0.0007822,0.0007822
