epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3603,1.60419,5.56364,0.02399,0.0133,0.65884,0.07342,0.02835,1.82553,5.34261,0.04418,0.000325926,0.000325926,0.000325926
2,45.3026,1.3891,4.42809,0.02014,0.4332,0.23759,0.19401,0.09322,1.54352,3.35548,0.03457,0.000646206,0.000646206,0.000646206
3,58.3124,1.39673,3.70232,0.02031,0.44944,0.25963,0.2334,0.10545,1.50578,2.8814,0.03508,0.000953286,0.000953286,0.000953286
4,70.9682,1.41448,3.10201,0.02042,0.41473,0.33019,0.26688,0.11234,1.76427,2.76625,0.04126,0.0009406,0.0009406,0.0009406
5,83.9096,1.40882,2.64478,0.02021,0.47178,0.38502,0.33649,0.145,1.64696,2.41619,0.0372,0.0009208,0.0009208,0.0009208
6,96.8643,1.41123,2.39681,0.02105,0.55595,0.39158,0.43206,0.20589,1.53674,2.2677,0.0337,0.000901,0.000901,0.000901
7,109.964,1.43211,2.20476,0.02121,0.48009,0.46213,0.46563,0.21055,1.53391,2.07087,0.03463,0.0008812,0.0008812,0.0008812
8,122.896,1.44746,2.07812,0.02166,0.558,0.45033,0.49942,0.2341,1.70217,1.97151,0.03729,0.0008614,0.0008614,0.0008614
9,135.716,1.43586,1.94596,0.02105,0.52617,0.44977,0.46495,0.21357,1.70166,2.06069,0.03794,0.0008416,0.0008416,0.0008416
10,148.737,1.43839,1.88989,0.02111,0.45826,0.4739,0.49199,0.22838,1.76898,2.01169,0.04032,0.0008218,0.0008218,0.0008218
11,161.788,1.41896,1.83173,0.02088,0.69338,0.48562,0.56584,0.2767,1.56982,1.8193,0.03499,0.000802,0.000802,0.000802
12,174.8,1.41288,1.72276,0.0206,0.57151,0.53295,0.54989,0.25876,1.63838,1.76203,0.03633,0.0007822,0.0007822,0.0007822
13,188.055,1.42073,1.71356,0.02074,0.55809,0.54648,0.57083,0.26559,1.64543,1.74682,0.04,0.0007624,0.0007624,0.0007624
14,201.55,1.42692,1.64119,0.02053,0.60733,0.54467,0.59314,0.26057,1.73769,1.7002,0.04075,0.0007426,0.0007426,0.0007426
15,214.468,1.41571,1.69507,0.02046,0.56044,0.61661,0.61361,0.3018,1.64981,1.53938,0.03601,0.0007228,0.0007228,0.0007228
16,227.537,1.40598,1.61013,0.01997,0.62398,0.60533,0.63134,0.29798,1.68655,1.61334,0.03921,0.000703,0.000703,0.000703
17,240.499,1.38627,1.58281,0.01944,0.63002,0.58782,0.63438,0.30149,1.63976,1.55958,0.03746,0.0006832,0.0006832,0.0006832
18,253.334,1.40822,1.55814,0.02042,0.59457,0.6171,0.62436,0.29836,1.64572,1.57827,0.03836,0.0006634,0.0006634,0.0006634
19,266.744,1.38628,1.49552,0.01988,0.61147,0.60306,0.64148,0.31445,1.60888,1.56054,0.03614,0.0006436,0.0006436,0.0006436
20,279.957,1.37723,1.48192,0.01975,0.62853,0.59389,0.65204,0.32724,1.56314,1.52677,0.03484,0.0006238,0.0006238,0.0006238
21,293.196,1.3778,1.48317,0.01975,0.63699,0.59818,0.62148,0.29679,1.68007,1.53876,0.0366,0.000604,0.000604,0.000604
22,306.393,1.36019,1.50119,0.01968,0.66249,0.58503,0.65454,0.33232,1.5369,1.53032,0.03389,0.0005842,0.0005842,0.0005842
23,319.59,1.37317,1.42602,0.01953,0.61156,0.59959,0.63278,0.31325,1.59671,1.56646,0.0356,0.0005644,0.0005644,0.0005644
24,332.61,1.35673,1.44265,0.01947,0.63992,0.60396,0.64579,0.32939,1.57541,1.50945,0.03514,0.0005446,0.0005446,0.0005446
25,345.514,1.34787,1.42767,0.01955,0.58588,0.63884,0.65417,0.32659,1.58857,1.51441,0.03604,0.0005248,0.0005248,0.0005248
26,358.675,1.36946,1.37982,0.01966,0.58738,0.63263,0.6303,0.33101,1.57288,1.47527,0.03514,0.000505,0.000505,0.000505
27,371.319,1.36152,1.389,0.01914,0.65798,0.58867,0.64183,0.30398,1.69694,1.552,0.03759,0.0004852,0.0004852,0.0004852
28,383.997,1.33758,1.34043,0.01906,0.63584,0.62274,0.67307,0.34717,1.54032,1.42582,0.03402,0.0004654,0.0004654,0.0004654
29,396.99,1.34641,1.34481,0.01891,0.69074,0.61788,0.66867,0.3313,1.59019,1.44062,0.03668,0.0004456,0.0004456,0.0004456
30,409.734,1.32787,1.30546,0.01887,0.67089,0.65127,0.6882,0.35625,1.5379,1.39186,0.03323,0.0004258,0.0004258,0.0004258
31,422.524,1.33464,1.31266,0.01921,0.61,0.61812,0.63614,0.32036,1.59205,1.50244,0.03495,0.000406,0.000406,0.000406
32,435.604,1.32628,1.28515,0.01869,0.65724,0.588,0.66761,0.35377,1.54346,1.39711,0.03427,0.0003862,0.0003862,0.0003862
33,448.447,1.29285,1.29159,0.01808,0.6492,0.61244,0.67698,0.35545,1.54631,1.38863,0.03346,0.0003664,0.0003664,0.0003664
