epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3964,1.60419,5.56364,0.02399,0.0133,0.65884,0.07342,0.02835,1.82553,5.34261,0.04418,0.000325926,0.000325926,0.000325926
2,43.8128,1.40274,4.40573,0.02054,0.72962,0.10455,0.18205,0.0797,1.65926,3.48311,0.03848,0.000652733,0.000652733,0.000652733
3,56.4418,1.40176,3.65964,0.02057,0.46455,0.26063,0.23411,0.10624,1.60668,2.9301,0.03778,0.000972939,0.000972939,0.000972939
4,69.1049,1.40119,3.09873,0.02036,0.57703,0.24069,0.19353,0.08703,1.98395,2.92856,0.0475,0.0009703,0.0009703,0.0009703
5,81.7351,1.42632,2.65897,0.02039,0.43176,0.37969,0.38908,0.16257,1.68106,2.30567,0.03833,0.0009604,0.0009604,0.0009604
6,94.4247,1.42688,2.39587,0.02131,0.44789,0.44134,0.42907,0.20883,1.55349,2.14697,0.03573,0.0009505,0.0009505,0.0009505
7,107.18,1.44826,2.20821,0.02125,0.46855,0.45624,0.46692,0.2193,1.63184,2.001,0.03678,0.0009406,0.0009406,0.0009406
8,119.917,1.45058,2.09289,0.02178,0.49344,0.50729,0.49472,0.22211,1.68373,1.97032,0.03651,0.0009307,0.0009307,0.0009307
9,132.839,1.46061,1.9674,0.02178,0.46472,0.50039,0.47682,0.20752,1.66322,1.97053,0.03792,0.0009208,0.0009208,0.0009208
10,145.588,1.45775,1.93109,0.02162,0.53018,0.52607,0.53134,0.23686,1.72693,1.84308,0.03904,0.0009109,0.0009109,0.0009109
11,158.223,1.43552,1.87223,0.02114,0.51293,0.52493,0.52102,0.25045,1.66981,1.84032,0.03731,0.000901,0.000901,0.000901
12,170.845,1.43546,1.77129,0.02096,0.50822,0.53155,0.53735,0.25659,1.62156,1.85283,0.03935,0.0008911,0.0008911,0.0008911
