epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.428,1.74464,7.25764,0.02637,0.34225,0.1396,0.09626,0.04582,2.23403,3.64479,0.05617,0.000325926,0.000325926,0.000325926
2,51.1942,1.60213,2.75422,0.02488,0.38304,0.36026,0.23159,0.08907,1.82007,3.27127,0.04371,0.000655996,0.000655996,0.000655996
3,70.1143,1.63636,2.22953,0.02479,0.58049,0.1947,0.15904,0.0575,2.12799,3.62601,0.05613,0.000982766,0.000982766,0.000982766
4,88.8251,1.69428,2.1033,0.02599,0.34166,0.38775,0.2864,0.0999,2.01902,2.52367,0.05239,0.00098515,0.00098515,0.00098515
5,107.755,1.66089,2.07362,0.02502,0.37802,0.4074,0.35922,0.12527,1.98246,2.56177,0.04838,0.0009802,0.0009802,0.0009802
6,126.761,1.65037,1.92087,0.0249,0.52001,0.45084,0.44805,0.16884,1.82629,2.19689,0.04346,0.00097525,0.00097525,0.00097525
7,145.522,1.60697,1.83633,0.02447,0.69673,0.40423,0.47874,0.19132,1.9808,2.11321,0.04667,0.0009703,0.0009703,0.0009703
8,164.437,1.59977,1.80668,0.02433,0.4564,0.47897,0.46746,0.20208,1.90079,1.91636,0.04399,0.00096535,0.00096535,0.00096535
9,183.341,1.60602,1.70301,0.02424,0.47346,0.49759,0.50133,0.20257,1.92095,1.93141,0.04484,0.0009604,0.0009604,0.0009604
10,202.279,1.61289,1.72163,0.02457,0.58194,0.56706,0.61024,0.2665,1.75014,1.71624,0.04031,0.00095545,0.00095545,0.00095545
11,221.165,1.57199,1.62229,0.02328,0.54951,0.53383,0.55464,0.2641,1.669,1.80873,0.0398,0.0009505,0.0009505,0.0009505
12,239.911,1.55852,1.63419,0.02369,0.57487,0.62411,0.61983,0.29549,1.72779,1.59629,0.04034,0.00094555,0.00094555,0.00094555
13,258.732,1.5236,1.59004,0.02227,0.57762,0.59957,0.60747,0.27545,1.69516,1.75687,0.03962,0.0009406,0.0009406,0.0009406
14,277.32,1.50409,1.58867,0.02198,0.43769,0.5517,0.50716,0.23182,1.89465,1.82041,0.04232,0.00093565,0.00093565,0.00093565
