epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1200.23,0.83892,1.26816,1.2017,0.74189,0.71906,0.7749,0.5685,0.89107,0.87579,1.18041,0.00999517,0.00333172,0.00999517,0.00333172,0.00999517,0.00333172,0.00999517,0.00333172
2,2184.98,0.99419,1.34744,1.32281,0.6497,0.60159,0.64313,0.43716,1.07315,1.17811,1.33871,0.0197972,0.00659907,0.0197972,0.00659907,0.0197972,0.00659907,0.0197972,0.00659907
3,3104.98,1.1787,1.74603,1.4749,0.52281,0.45276,0.47435,0.28823,1.28535,1.61071,1.5531,0.0294013,0.00980042,0.0294013,0.00980042,0.0294013,0.00980042,0.0294013,0.00980042
4,4027.17,1.24787,1.92482,1.53626,0.60164,0.53409,0.55333,0.3517,1.22199,1.4256,1.51131,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5158.47,1.18281,1.74191,1.48372,0.62564,0.56377,0.607,0.4042,1.13965,1.33147,1.43483,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6163.9,1.11974,1.59402,1.44077,0.69997,0.60193,0.67522,0.46512,1.06605,1.18449,1.36734,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7199.94,1.08185,1.50941,1.4132,0.72177,0.64347,0.70941,0.4979,1.02595,1.07571,1.3265,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8156.99,1.04744,1.42095,1.38383,0.71074,0.66549,0.72321,0.51646,0.99738,1.03511,1.31162,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,9711.12,1.02599,1.3634,1.36848,0.74808,0.68535,0.75148,0.53334,0.99185,0.97134,1.29593,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11327.8,0.99826,1.30774,1.34778,0.75557,0.68659,0.76003,0.55113,0.96263,0.93516,1.27582,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12951.9,0.98136,1.2621,1.33031,0.76226,0.70267,0.77373,0.56747,0.93986,0.91428,1.25636,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,14583.4,0.96272,1.2197,1.31613,0.76586,0.71795,0.78675,0.57846,0.92289,0.89066,1.23977,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,16208,0.94865,1.18862,1.30474,0.77692,0.71368,0.79571,0.58958,0.91616,0.85946,1.22432,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,17835.5,0.93849,1.14993,1.29839,0.78558,0.73438,0.80399,0.60039,0.9029,0.84453,1.22094,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,19453.9,0.92408,1.13014,1.289,0.78103,0.73885,0.81216,0.60978,0.88839,0.82485,1.20344,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,21086.8,0.91483,1.10283,1.27656,0.79479,0.74399,0.81981,0.61689,0.88814,0.80157,1.20975,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,22695.4,0.907,1.08285,1.26972,0.80779,0.74128,0.82463,0.62155,0.88047,0.78393,1.20288,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,24313,0.8926,1.05542,1.26466,0.80364,0.74518,0.83094,0.63133,0.8684,0.76854,1.1933,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,25931.8,0.88491,1.04234,1.25687,0.80708,0.75467,0.83272,0.63468,0.8663,0.75626,1.18466,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,27051.1,0.87884,1.01723,1.24796,0.80027,0.7692,0.83608,0.63924,0.8564,0.74946,1.18117,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,28204.4,0.86968,0.99937,1.2421,0.82309,0.75536,0.84226,0.643,0.85836,0.73257,1.18243,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,29228.2,0.86166,0.98057,1.23247,0.80431,0.76835,0.84199,0.64755,0.84853,0.72372,1.17093,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,31690.8,0.85186,0.96988,1.2311,0.83162,0.76743,0.84971,0.65619,0.84636,0.71371,1.17114,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,32583.3,0.8474,0.94797,1.22653,0.81568,0.78729,0.85127,0.66035,0.832,0.70743,1.16012,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,33460.3,0.84142,0.93685,1.2212,0.81561,0.78698,0.85244,0.66337,0.82815,0.70167,1.15705,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,34345.4,0.83745,0.93421,1.21674,0.82211,0.78437,0.85274,0.66104,0.83266,0.69356,1.15819,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,35245.4,0.82966,0.91612,1.21399,0.82912,0.78661,0.85672,0.66869,0.82715,0.68624,1.1567,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,36318.5,0.8237,0.89643,1.21116,0.82953,0.78689,0.85849,0.6702,0.82505,0.67791,1.15566,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,37414.4,0.82061,0.89691,1.20668,0.82405,0.79102,0.85677,0.67008,0.82221,0.67823,1.14766,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,38329.3,0.81335,0.88272,1.1989,0.82703,0.79198,0.86678,0.68001,0.81739,0.67056,1.1463,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,39200.6,0.81089,0.86904,1.1984,0.83211,0.79413,0.86363,0.67802,0.81395,0.66756,1.14527,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,40057.6,0.80288,0.85728,1.19253,0.83149,0.79403,0.86313,0.67746,0.81405,0.66284,1.14506,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,41059.7,0.80127,0.85117,1.19029,0.83775,0.79928,0.86906,0.68288,0.81348,0.65012,1.14394,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,42293.8,0.79307,0.83501,1.18351,0.83424,0.80457,0.87007,0.68437,0.81278,0.64731,1.14622,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,43488.6,0.78818,0.82567,1.17891,0.83031,0.80643,0.86934,0.68563,0.80558,0.64662,1.1402,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
