epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,294.823,0.98087,2.48101,1.26239,0.62003,0.56478,0.60224,0.39431,1.1138,1.46377,1.31825,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,571.253,1.10851,1.87992,1.35718,0.50763,0.45973,0.44682,0.27006,1.35114,1.82362,1.51355,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943
3,821.824,1.23896,2.06799,1.46541,0.40046,0.30195,0.2713,0.14635,1.52585,2.53748,1.7904,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569
4,1075.9,1.32232,2.13277,1.54164,0.44128,0.35927,0.33968,0.19265,1.46245,2.03713,1.6954,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1331.37,1.27301,1.92569,1.49722,0.51782,0.4704,0.46698,0.27867,1.3177,1.72183,1.54572,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1587.28,1.22357,1.80054,1.46907,0.5508,0.48184,0.50435,0.30498,1.3231,1.66443,1.56061,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1846.44,1.18824,1.70316,1.43691,0.57266,0.49775,0.5146,0.31529,1.27313,1.55104,1.47982,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2106.02,1.16556,1.6485,1.42181,0.63455,0.53976,0.58998,0.38233,1.19591,1.38697,1.42717,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2367.97,1.1422,1.57726,1.40222,0.63109,0.53499,0.5845,0.37319,1.22715,1.44974,1.46347,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2627.12,1.12599,1.54064,1.39239,0.66029,0.55508,0.61866,0.41043,1.15445,1.30989,1.39669,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2888.71,1.10498,1.49239,1.3709,0.67474,0.58824,0.64382,0.42422,1.14238,1.26384,1.36681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3149.72,1.09907,1.46923,1.36738,0.69422,0.61898,0.67382,0.45462,1.10782,1.18527,1.34625,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3410.57,1.08253,1.43482,1.35606,0.70165,0.60377,0.67189,0.45573,1.11694,1.19559,1.34569,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3673.12,1.06804,1.39907,1.3475,0.72569,0.6195,0.70347,0.48645,1.08568,1.12094,1.32667,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3935.12,1.06956,1.39259,1.34549,0.73497,0.6289,0.70918,0.48772,1.07512,1.10593,1.31235,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
