epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,603.627,0.88709,1.40004,1.20336,0.74215,0.7381,0.78476,0.56801,0.92378,0.89404,1.16684,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1115.36,1.00942,1.29095,1.28801,0.64811,0.58905,0.63318,0.4097,1.16264,1.26388,1.39269,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1574.52,1.19065,1.66934,1.42953,0.5195,0.46444,0.47349,0.27809,1.32905,1.70423,1.55017,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2025.81,1.27711,1.87566,1.5056,0.54023,0.49508,0.49969,0.30327,1.30317,1.59523,1.52835,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2512.08,1.21124,1.7181,1.45535,0.58722,0.55743,0.57083,0.36133,1.24164,1.44749,1.48008,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2956.98,1.16829,1.61568,1.42497,0.64358,0.60239,0.62937,0.40625,1.18085,1.27249,1.41463,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3422.87,1.12769,1.52417,1.3968,0.66664,0.61416,0.66229,0.43866,1.12793,1.1914,1.36252,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3882,1.10365,1.45264,1.37075,0.68918,0.64101,0.69555,0.46946,1.09762,1.13506,1.33728,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4323.08,1.0658,1.38963,1.34704,0.73628,0.6327,0.7128,0.48726,1.08208,1.07764,1.32406,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5056.73,1.05493,1.34627,1.3373,0.73875,0.661,0.73381,0.50686,1.05722,1.03541,1.30904,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5668.8,1.04466,1.31546,1.32752,0.73856,0.65694,0.73019,0.51167,1.03502,1.02802,1.27801,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6107.4,1.02166,1.28039,1.3124,0.75457,0.68043,0.7554,0.53472,1.01617,0.98333,1.27368,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6564.55,1.00328,1.24563,1.30673,0.76171,0.68746,0.76729,0.5422,1.01378,0.96194,1.27,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7011.64,0.99109,1.21432,1.29308,0.7371,0.70871,0.7658,0.54757,0.99645,0.93876,1.2513,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7496.48,0.99171,1.19353,1.29225,0.75718,0.6962,0.77404,0.55929,0.98382,0.91651,1.24,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7984.46,0.97648,1.16966,1.2767,0.77799,0.7097,0.79475,0.57767,0.96723,0.89171,1.22052,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8469.25,0.96108,1.13621,1.26812,0.7904,0.71525,0.79433,0.57916,0.96421,0.87658,1.22689,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8957.91,0.95679,1.1258,1.26554,0.78737,0.72672,0.80443,0.58741,0.95699,0.85646,1.21558,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9446.08,0.94486,1.1052,1.25713,0.78653,0.72778,0.80612,0.59175,0.94896,0.85052,1.21285,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10077.1,0.93974,1.09062,1.25131,0.79222,0.73542,0.80512,0.59539,0.9382,0.84637,1.2005,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10742.7,0.93402,1.07478,1.24561,0.7823,0.74444,0.81395,0.60329,0.932,0.82625,1.19506,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11406.3,0.92083,1.05419,1.237,0.79966,0.73516,0.81506,0.60277,0.93247,0.81344,1.19342,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12065.5,0.91884,1.0427,1.23512,0.80218,0.74751,0.82062,0.6108,0.9243,0.7998,1.18734,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,19041.4,0.9145,1.03143,1.22963,0.81989,0.73564,0.82607,0.61851,0.91425,0.7902,1.17686,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,19463.8,0.90325,1.01238,1.22411,0.79588,0.75301,0.82573,0.61541,0.91587,0.79128,1.18131,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,19893,0.89859,1.00255,1.22018,0.8205,0.74016,0.82591,0.61946,0.90752,0.78856,1.17593,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,20327.4,0.88823,0.98489,1.2148,0.81586,0.75835,0.82972,0.62674,0.90435,0.76662,1.16788,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,21075.6,0.89216,0.98239,1.21419,0.81041,0.75956,0.83545,0.62971,0.89896,0.76488,1.16446,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,21791.8,0.88221,0.97301,1.20734,0.80689,0.76642,0.83781,0.63481,0.89649,0.75606,1.15861,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,22275.7,0.87981,0.95758,1.20226,0.82443,0.76015,0.84257,0.63734,0.89013,0.75237,1.15813,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,22913.8,0.87233,0.95081,1.1998,0.8118,0.7622,0.83946,0.63642,0.89166,0.74499,1.16045,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,23541.8,0.86926,0.94508,1.20083,0.80287,0.78236,0.84346,0.63805,0.89018,0.74209,1.15755,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,24178.1,0.86826,0.93354,1.1962,0.82478,0.76783,0.84522,0.64259,0.88634,0.73517,1.15673,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,24691.2,0.8577,0.91599,1.18929,0.82203,0.77655,0.84837,0.64502,0.88209,0.7269,1.15468,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25169.3,0.85507,0.91168,1.18751,0.81126,0.78856,0.84814,0.64622,0.88416,0.7239,1.15355,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,25722.8,0.85217,0.90232,1.18421,0.82541,0.78163,0.84814,0.64594,0.88208,0.72122,1.15165,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,26204.7,0.84443,0.89674,1.18145,0.82356,0.78538,0.85431,0.64967,0.87923,0.71894,1.14734,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,26710.5,0.83949,0.88634,1.17772,0.8223,0.79089,0.85429,0.65131,0.87786,0.71624,1.14545,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,27198.9,0.83668,0.88068,1.17425,0.8288,0.7866,0.85612,0.65405,0.87415,0.70838,1.14466,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,27677.9,0.83615,0.87232,1.17042,0.83104,0.77976,0.85504,0.65765,0.86611,0.70265,1.13828,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28278.1,0.83468,0.87149,1.17133,0.82898,0.78344,0.85413,0.65824,0.86528,0.69875,1.13912,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,28875.4,0.82685,0.85169,1.1662,0.83811,0.77939,0.85554,0.6588,0.86572,0.69715,1.1398,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,29493.4,0.81989,0.84454,1.16015,0.83996,0.77859,0.85707,0.65997,0.8633,0.69423,1.13601,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
