epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,695.153,1.02421,2.39249,1.30218,5.69677,0.6734,0.64697,0.68585,0.47054,1.021,1.30347,1.27053,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1295.03,1.08182,1.82005,1.3459,3.27159,0.63145,0.55518,0.597,0.38729,1.15716,1.5144,1.3964,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1856.11,1.16807,1.92631,1.423,3.15562,0.51742,0.44371,0.44488,0.26961,1.31666,1.81391,1.55303,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2405.27,1.21433,1.91638,1.46546,3.17024,0.61207,0.54289,0.57744,0.36524,1.20047,1.4667,1.44352,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2955.2,1.16842,1.73622,1.42773,2.97298,0.62235,0.57273,0.58837,0.3728,1.19343,1.44676,1.4315,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3505.98,1.14378,1.62941,1.40996,2.84777,0.66574,0.60774,0.65602,0.43996,1.12546,1.30699,1.375,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4053.28,1.11821,1.547,1.39299,2.74935,0.66755,0.62185,0.66482,0.44762,1.11075,1.23616,1.35442,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4602.01,1.09906,1.48741,1.37666,2.66948,0.7244,0.64262,0.71666,0.49238,1.08465,1.14478,1.33098,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5150.94,1.076,1.43287,1.35878,2.60244,0.73251,0.62755,0.71077,0.4894,1.08993,1.15012,1.33626,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5696.96,1.06779,1.40059,1.35367,2.55872,0.76078,0.65451,0.7418,0.51738,1.05495,1.05606,1.30737,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6243.11,1.05697,1.37467,1.3437,2.51389,0.74613,0.66799,0.73963,0.51965,1.03797,1.06134,1.29134,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6790.72,1.04284,1.33803,1.33327,2.47187,0.74097,0.67259,0.75255,0.53296,1.02199,1.02122,1.27885,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7338.01,1.02834,1.31111,1.32586,2.44683,0.75184,0.68322,0.75466,0.53714,1.01829,1.01321,1.27701,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7880.47,1.02189,1.28889,1.31875,2.41972,0.7461,0.68925,0.7615,0.54334,1.00947,1.01404,1.2702,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8427.08,1.02268,1.28078,1.31835,2.39442,0.76901,0.69287,0.77568,0.55632,0.99309,0.96986,1.25075,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8974.16,1.0105,1.25377,1.30975,2.36414,0.77358,0.69213,0.77975,0.56174,0.98616,0.94873,1.2474,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9525.59,1.00166,1.23256,1.30271,2.33942,0.78289,0.71129,0.78667,0.56781,0.98569,0.93017,1.24516,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,10070,0.99985,1.22284,1.3004,2.3289,0.77902,0.70991,0.78844,0.57078,0.97915,0.91557,1.23751,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10617.4,0.99363,1.21099,1.29761,2.30335,0.7683,0.71888,0.79327,0.57506,0.97215,0.91059,1.23483,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,11163.8,0.98946,1.19967,1.29076,2.28731,0.79092,0.72121,0.8025,0.58494,0.96054,0.89605,1.22332,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11708.8,0.98499,1.1895,1.28926,2.27571,0.79046,0.72299,0.80465,0.58974,0.95448,0.88506,1.2203,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,12255.6,0.97833,1.1709,1.28443,2.2595,0.79041,0.71338,0.80141,0.58854,0.95476,0.87973,1.21876,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12801.2,0.9758,1.17184,1.28383,2.24838,0.79727,0.73297,0.8093,0.59539,0.9447,0.87373,1.2105,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,13349.3,0.97511,1.15448,1.27893,2.2363,0.79294,0.74288,0.81266,0.60075,0.94224,0.86171,1.20624,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13893.9,0.9621,1.14068,1.2752,2.21951,0.81314,0.72262,0.81777,0.60273,0.93883,0.84883,1.20709,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,14440.2,0.96284,1.13221,1.27387,2.20977,0.80608,0.73327,0.81937,0.60647,0.93411,0.84812,1.20292,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,14985.6,0.95583,1.12507,1.27132,2.20196,0.81456,0.72863,0.81925,0.60765,0.93323,0.83793,1.20041,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,15531.9,0.95902,1.12439,1.27033,2.19105,0.81959,0.73044,0.82455,0.61354,0.92636,0.83374,1.19337,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,16077,0.94942,1.11893,1.26407,2.18239,0.79314,0.74295,0.8222,0.61157,0.92838,0.83341,1.19379,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,16622.7,0.94895,1.10932,1.26017,2.1687,0.81453,0.74092,0.8283,0.61596,0.92398,0.8228,1.19132,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,17168.2,0.94761,1.1031,1.26041,2.16489,0.81462,0.73999,0.82704,0.61755,0.92285,0.82155,1.18987,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,17713.5,0.94597,1.09608,1.26371,2.1523,0.81304,0.74817,0.82863,0.61968,0.91735,0.81497,1.18933,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,18258.5,0.94482,1.09096,1.2577,2.14989,0.80067,0.75819,0.82724,0.621,0.91697,0.81236,1.1872,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,18803.5,0.93629,1.07758,1.25183,2.13918,0.79379,0.75818,0.82839,0.61962,0.91521,0.80953,1.18446,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,19351.9,0.93516,1.07201,1.25262,2.13143,0.79552,0.7616,0.8339,0.62595,0.90882,0.80136,1.18122,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,19895.6,0.93449,1.06867,1.2528,2.12373,0.81296,0.74787,0.83504,0.62782,0.9088,0.79745,1.17955,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,20440.8,0.92807,1.05933,1.24802,2.11489,0.81704,0.7494,0.83617,0.62974,0.90648,0.7929,1.17835,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,20987.8,0.92356,1.0543,1.24596,2.10758,0.81277,0.76007,0.83844,0.6314,0.90696,0.78599,1.17852,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
