epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,674.36,1.00871,2.42346,1.2864,6.27207,0.66053,0.61112,0.6606,0.44072,1.06653,1.34934,1.30753,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1284.93,1.10384,1.86779,1.36698,4.19039,0.60604,0.5228,0.55756,0.35445,1.20793,1.60291,1.47543,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1853.9,1.2009,1.99557,1.45407,3.89349,0.50955,0.44643,0.43898,0.2517,1.41455,1.89422,1.66744,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2416.67,1.25307,2.00484,1.49525,3.59035,0.51812,0.45783,0.46072,0.28133,1.32084,1.77813,1.58975,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2970.51,1.20663,1.81629,1.45778,3.08793,0.59728,0.53027,0.54428,0.34136,1.22045,1.58514,1.4614,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3658.7,1.17424,1.70101,1.43295,2.77954,0.6453,0.60227,0.6335,0.41576,1.15778,1.36557,1.41223,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4338.9,1.1463,1.61137,1.41344,2.58223,0.66396,0.6162,0.65115,0.43271,1.14187,1.29402,1.3877,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5055.95,1.12748,1.55858,1.39744,2.44883,0.71123,0.6228,0.69136,0.46497,1.11737,1.21606,1.36431,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5650.01,1.09926,1.49637,1.37741,2.34448,0.71699,0.63501,0.70812,0.48393,1.09571,1.17433,1.34923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6212.07,1.09296,1.46591,1.37353,2.28334,0.72345,0.65727,0.72503,0.49607,1.07906,1.10903,1.32846,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6777.11,1.08487,1.4356,1.36342,2.2244,0.72524,0.67094,0.73112,0.50993,1.05419,1.11277,1.30518,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7365.62,1.06668,1.4019,1.35111,2.17571,0.73746,0.66521,0.74196,0.5161,1.04763,1.07033,1.30219,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7959.71,1.05297,1.363,1.34331,2.13231,0.75445,0.66734,0.74407,0.52157,1.04099,1.06424,1.29343,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8523.91,1.04564,1.34219,1.33606,2.10141,0.77239,0.6719,0.75758,0.53331,1.027,1.02466,1.28064,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,9077.9,1.04281,1.3277,1.33309,2.06526,0.75611,0.68913,0.76148,0.53816,1.01472,0.99642,1.26984,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,9634.64,1.03477,1.30264,1.32708,2.038,0.77523,0.69011,0.76914,0.54848,1.009,0.98466,1.26569,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
