epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,584.294,1.01139,2.4259,1.27708,6.14466,0.62612,0.60449,0.62826,0.4112,1.09264,1.34635,1.3032,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1100.55,1.12706,1.91952,1.36901,4.97522,0.60796,0.53178,0.55281,0.34307,1.20997,1.53907,1.41991,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1560.57,1.2416,2.08667,1.47621,4.3829,0.46156,0.37889,0.37062,0.21109,1.41907,2.01523,1.63588,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2001.58,1.28479,2.0837,1.52091,3.45949,0.53456,0.48322,0.49267,0.29834,1.3084,1.68653,1.55175,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2437.73,1.22513,1.86966,1.47091,2.48889,0.59285,0.53949,0.55119,0.34312,1.22685,1.50259,1.45846,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2846.69,1.18785,1.73996,1.44022,1.88845,0.65348,0.56847,0.61874,0.40149,1.17497,1.37576,1.42202,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3295.23,1.15504,1.64941,1.41953,1.5632,0.65207,0.57879,0.62942,0.41265,1.16478,1.31752,1.39985,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3727.56,1.12867,1.58273,1.39641,1.38626,0.68105,0.61773,0.67011,0.45099,1.11867,1.2152,1.35518,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4158.65,1.10466,1.51655,1.37531,1.2779,0.69085,0.62663,0.68314,0.46743,1.11269,1.19694,1.3519,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4638.35,1.09681,1.48363,1.37142,1.226,0.72172,0.62854,0.70102,0.47971,1.09841,1.13043,1.34002,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5086.24,1.08453,1.4476,1.359,1.18328,0.70354,0.63616,0.69641,0.47969,1.0885,1.13935,1.32315,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5556.14,1.06406,1.41123,1.34451,1.1503,0.71772,0.64948,0.71443,0.49314,1.07616,1.09078,1.31688,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6035.89,1.05378,1.38036,1.33994,1.1317,0.73126,0.63132,0.7113,0.48972,1.06954,1.09759,1.32323,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
