epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,567.215,1.0057,2.3901,1.27724,5.55962,0.654,0.623,0.66398,0.44304,1.06627,1.30209,1.28168,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1044.59,1.1072,1.88732,1.35067,4.65391,0.57646,0.53147,0.55154,0.34998,1.19548,1.57507,1.41827,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1461.24,1.21614,2.03184,1.4471,4.26156,0.49272,0.41695,0.41736,0.24397,1.35158,1.8897,1.57971,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2036.68,1.26187,2.00784,1.48597,3.64295,0.56824,0.50297,0.52385,0.32578,1.26091,1.56254,1.48079,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2700.71,1.20657,1.80757,1.44211,2.9181,0.58667,0.558,0.56359,0.35381,1.19997,1.50576,1.4168,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3144.03,1.17031,1.67564,1.41019,2.41141,0.64961,0.56334,0.61246,0.406,1.152,1.37263,1.393,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3570.4,1.14074,1.58644,1.38973,2.11235,0.67638,0.61247,0.66966,0.4497,1.11421,1.25328,1.33738,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4006.87,1.11579,1.52261,1.36988,1.92125,0.69725,0.62661,0.69127,0.4699,1.10246,1.18249,1.32706,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4438.47,1.09062,1.45937,1.3503,1.80602,0.71927,0.63679,0.70902,0.48776,1.07283,1.127,1.30619,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4875.12,1.08092,1.42783,1.34551,1.74245,0.72771,0.66644,0.73241,0.50934,1.0534,1.08571,1.28983,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5297.13,1.06985,1.38955,1.33381,1.69007,0.72986,0.65073,0.72225,0.50358,1.05059,1.09491,1.27822,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5704.54,1.05227,1.35734,1.32088,1.65765,0.72883,0.67288,0.74156,0.52006,1.03363,1.02716,1.26982,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6153.44,1.04106,1.32754,1.31485,1.62379,0.74933,0.67178,0.75109,0.52915,1.02305,1.02231,1.25449,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6645.27,1.03173,1.30861,1.3066,1.60375,0.75274,0.68777,0.76074,0.5393,1.01312,1.00099,1.25358,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7085.24,1.02987,1.28894,1.30381,1.57787,0.76491,0.67196,0.76209,0.5432,1.00324,0.97506,1.2367,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7518.14,1.02125,1.26699,1.29657,1.56289,0.77126,0.68927,0.7723,0.55605,0.99483,0.94886,1.22928,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7952.09,1.00712,1.24382,1.28665,1.54619,0.77437,0.69632,0.77693,0.55945,0.98946,0.94002,1.22765,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8389.85,1.0072,1.2303,1.28488,1.53097,0.78804,0.69676,0.78724,0.56848,0.9826,0.91461,1.2175,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8849.96,0.99931,1.21682,1.28146,1.51732,0.77304,0.70691,0.78865,0.57486,0.96943,0.9144,1.2094,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9299.38,0.99493,1.20661,1.27502,1.50708,0.78804,0.70542,0.78987,0.574,0.96718,0.89973,1.2077,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9758.91,0.99103,1.19931,1.27367,1.49788,0.76752,0.71725,0.79361,0.57721,0.95836,0.89128,1.20317,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10240.2,0.98316,1.17829,1.26843,1.48741,0.77343,0.73252,0.80296,0.58471,0.9589,0.87636,1.20199,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10714.6,0.98216,1.17473,1.26775,1.48067,0.78464,0.71994,0.80134,0.58568,0.9533,0.87532,1.19546,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11173.1,0.97705,1.15795,1.26224,1.4692,0.78609,0.73373,0.80548,0.59359,0.94589,0.86375,1.18744,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11644.4,0.96594,1.14465,1.25733,1.45322,0.78789,0.73913,0.81184,0.59755,0.94192,0.84846,1.18756,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12113.3,0.96688,1.13942,1.25572,1.45255,0.79483,0.72558,0.81088,0.59943,0.93776,0.85082,1.1843,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12580.3,0.95941,1.12469,1.25337,1.44528,0.79651,0.73618,0.81332,0.60083,0.93408,0.83951,1.18136,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13054.6,0.96283,1.12729,1.25372,1.43602,0.79274,0.7324,0.81552,0.60656,0.93058,0.83617,1.17565,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
