epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.078,0.991,2.48346,1.26908,5.68744,0.62004,0.56692,0.59243,0.38396,1.13367,1.41696,1.34666,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,488.053,1.08323,1.78665,1.32944,4.66633,0.59112,0.49326,0.52656,0.33115,1.20595,1.67908,1.40607,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836
3,702.077,1.16998,1.89243,1.40229,4.25477,0.46454,0.3887,0.36359,0.20983,1.40919,2.12826,1.63273,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782
4,910.741,1.23298,1.90784,1.45639,3.68191,0.47564,0.39835,0.38992,0.22399,1.35991,2.05915,1.55818,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1121.12,1.17546,1.69897,1.41773,2.93896,0.58539,0.50964,0.54328,0.34087,1.24273,1.57932,1.47074,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1327.49,1.13996,1.5669,1.38564,2.42031,0.67512,0.58358,0.63658,0.42151,1.14994,1.29579,1.35839,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1532.52,1.11081,1.48389,1.36261,2.08742,0.67187,0.57773,0.63895,0.42034,1.14713,1.31647,1.37681,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1735.58,1.08588,1.42211,1.34443,1.88718,0.68375,0.61706,0.6705,0.45565,1.10421,1.20789,1.33114,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1938.1,1.06607,1.35604,1.32778,1.75666,0.72868,0.62625,0.69839,0.48069,1.08967,1.14292,1.31161,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2149.08,1.05104,1.33178,1.31805,1.67808,0.73652,0.62899,0.71241,0.49232,1.07247,1.11495,1.30662,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2358.57,1.03905,1.29764,1.31032,1.61795,0.75328,0.65685,0.73957,0.51842,1.0362,1.05549,1.26571,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2567.18,1.02095,1.25464,1.29593,1.57082,0.76742,0.64994,0.73909,0.52126,1.02839,1.04032,1.25449,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2778.28,1.01473,1.23851,1.2881,1.54048,0.74538,0.67369,0.75323,0.53431,1.02373,1.00709,1.25227,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2986.87,1.00224,1.20852,1.2813,1.51252,0.75429,0.69964,0.76466,0.54596,1.01552,0.968,1.24521,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3196.76,0.99026,1.18645,1.2714,1.48626,0.7679,0.68812,0.77231,0.55248,0.99791,0.96031,1.23032,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3406.39,0.98719,1.17028,1.26509,1.46513,0.76479,0.69111,0.77335,0.55665,0.98701,0.93964,1.22292,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3616.72,0.97751,1.15013,1.26124,1.44837,0.77082,0.71158,0.7849,0.5681,0.98416,0.91885,1.21993,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3825.75,0.97144,1.13523,1.25752,1.43447,0.76376,0.71076,0.78167,0.56779,0.96674,0.91176,1.20463,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4030.65,0.96573,1.11708,1.25264,1.4247,0.77338,0.71565,0.79702,0.57914,0.97105,0.87735,1.20638,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4238,0.957,1.10249,1.24806,1.40608,0.77838,0.72431,0.79814,0.58289,0.9576,0.88163,1.19588,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4436.92,0.94893,1.08713,1.24176,1.39475,0.7921,0.7274,0.80791,0.59265,0.9542,0.85671,1.1925,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4636.1,0.94509,1.08029,1.23781,1.37947,0.79548,0.73192,0.81577,0.60254,0.94807,0.84689,1.18409,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4835.54,0.93962,1.06362,1.23295,1.36938,0.79217,0.73045,0.81026,0.59803,0.94213,0.84643,1.18294,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5034.62,0.92941,1.05481,1.22836,1.36504,0.79761,0.74385,0.81868,0.60529,0.93553,0.83372,1.17589,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5233.77,0.92866,1.04379,1.22693,1.3516,0.79805,0.73652,0.81579,0.60511,0.93306,0.82938,1.17584,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5433.15,0.92173,1.03207,1.22401,1.33977,0.80547,0.7392,0.81784,0.60624,0.9321,0.81954,1.17482,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5633.49,0.92013,1.02542,1.21968,1.32708,0.81785,0.73158,0.82499,0.61467,0.92247,0.81106,1.16494,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5834.09,0.90924,1.00989,1.21443,1.32439,0.81226,0.7435,0.82599,0.61519,0.92302,0.80106,1.16558,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6034.78,0.90868,1.00146,1.21058,1.31772,0.8,0.75315,0.826,0.61841,0.91669,0.80021,1.1608,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6235.15,0.90354,0.98917,1.20925,1.30499,0.81683,0.74463,0.83155,0.62122,0.91133,0.78776,1.15577,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6435.27,0.90097,0.9812,1.20625,1.2959,0.81392,0.75522,0.83273,0.62594,0.91319,0.7857,1.15732,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6635.02,0.88954,0.96984,1.1987,1.29045,0.8071,0.7542,0.83313,0.62799,0.90759,0.77794,1.15461,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
