epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,237.357,0.99275,2.4805,1.27028,5.84776,0.63119,0.58596,0.61397,0.40158,1.11189,1.4024,1.33488,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,455.409,1.08445,1.80026,1.3298,3.7131,0.54938,0.4743,0.49594,0.31067,1.2166,1.72198,1.42564,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836,0.0195851,0.00652836
3,647.953,1.16715,1.84622,1.39272,2.31195,0.48641,0.35708,0.35111,0.19472,1.47099,2.11738,1.69043,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782,0.0287935,0.00959782
4,842.069,1.23673,1.84773,1.45254,2.07337,0.59748,0.51227,0.5427,0.33613,1.25443,1.56427,1.46588,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1041,1.1848,1.6666,1.42068,1.90518,0.60947,0.50967,0.55534,0.3544,1.23417,1.51029,1.4683,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1236.6,1.15511,1.55894,1.38999,1.80743,0.65175,0.58277,0.62621,0.40976,1.16003,1.33695,1.37479,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1432.19,1.12928,1.48222,1.36725,1.73634,0.72144,0.57676,0.66181,0.44732,1.11738,1.24668,1.34392,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1628.28,1.10338,1.4233,1.35144,1.68579,0.70841,0.61729,0.68754,0.47085,1.10824,1.19385,1.33578,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1826.32,1.08665,1.36468,1.33654,1.64535,0.72505,0.62356,0.69623,0.47657,1.11093,1.16304,1.33989,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2019.16,1.07142,1.34301,1.32532,1.61656,0.74519,0.64328,0.72407,0.50289,1.06425,1.08622,1.30453,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2213.2,1.05668,1.3041,1.31594,1.58244,0.74375,0.67243,0.74465,0.52132,1.04822,1.04632,1.28598,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2407.2,1.04185,1.26452,1.30318,1.55878,0.75654,0.66584,0.75189,0.52829,1.03072,1.03118,1.26028,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2600.11,1.03585,1.25258,1.2974,1.53597,0.74391,0.68246,0.74918,0.52692,1.04152,1.01025,1.26623,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2794.12,1.01766,1.21458,1.2859,1.51419,0.76032,0.68657,0.7603,0.53698,1.02508,0.98965,1.25609,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2986.18,1.00657,1.19886,1.27805,1.4959,0.7675,0.67692,0.77137,0.55329,0.99854,0.96561,1.23936,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3178.01,1.0084,1.18444,1.27405,1.47856,0.77476,0.69418,0.77822,0.55765,0.99125,0.94062,1.22804,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3369.24,0.99413,1.15885,1.26499,1.46348,0.78051,0.68699,0.77954,0.56384,0.98472,0.93025,1.22355,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3561.17,0.9879,1.14785,1.26435,1.45175,0.77011,0.71578,0.78917,0.573,0.97109,0.90565,1.21365,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3753.13,0.98148,1.13205,1.25921,1.44317,0.78812,0.71628,0.79846,0.57986,0.97523,0.88683,1.21258,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3943.57,0.9725,1.1143,1.25282,1.42657,0.77724,0.7196,0.79615,0.58151,0.9623,0.88462,1.20364,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4133.25,0.9641,1.09702,1.24787,1.41431,0.7975,0.72615,0.80962,0.59348,0.95229,0.85753,1.19678,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4324.06,0.95745,1.09381,1.24152,1.39885,0.80151,0.71723,0.80915,0.59345,0.94981,0.85443,1.19194,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4517.1,0.95396,1.07506,1.2385,1.39124,0.80391,0.72459,0.8124,0.59714,0.94372,0.85387,1.18548,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4707.8,0.9423,1.06439,1.23353,1.38556,0.80765,0.733,0.818,0.60475,0.9365,0.83431,1.17956,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4901.37,0.94192,1.04893,1.23249,1.37248,0.81123,0.73083,0.81714,0.60759,0.93238,0.8338,1.17707,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5093.99,0.93325,1.03892,1.22763,1.36058,0.81575,0.73458,0.82352,0.61031,0.93554,0.81775,1.18247,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5285.31,0.929,1.02991,1.22131,1.34981,0.81949,0.72753,0.82488,0.61478,0.92265,0.81099,1.16752,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5473.6,0.92213,1.01804,1.22008,1.34809,0.81398,0.7383,0.82505,0.61511,0.92296,0.81032,1.16999,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5661.84,0.9192,1.00913,1.21479,1.3432,0.81796,0.73548,0.82637,0.61633,0.92363,0.80117,1.16922,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5849.98,0.91371,0.99442,1.21259,1.32818,0.81947,0.74744,0.83201,0.62123,0.92196,0.79254,1.16698,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6038.28,0.90993,0.98999,1.2092,1.31934,0.81339,0.75346,0.83431,0.62488,0.91704,0.78884,1.16226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6226.51,0.89926,0.97782,1.20254,1.31407,0.81835,0.74874,0.83672,0.6291,0.91158,0.78294,1.16001,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6413.49,0.8965,0.9669,1.20076,1.30745,0.81806,0.76185,0.83701,0.62823,0.9121,0.78301,1.15938,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6600.38,0.88908,0.96002,1.19633,1.30017,0.81516,0.7545,0.83728,0.63114,0.90571,0.7783,1.15602,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6786.74,0.88811,0.94958,1.19679,1.29128,0.81395,0.76087,0.8392,0.63191,0.91009,0.77509,1.1589,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
