epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2658.62,1.00571,2.41727,1.2821,3.55847,0.6478,0.60261,0.64615,0.42447,1.07944,1.33509,1.29335,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,3164.73,1.12498,1.91598,1.36804,3.00291,0.56646,0.50663,0.51692,0.31669,1.24676,1.65336,1.47473,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,3648.01,1.24807,2.0966,1.47412,2.61584,0.47321,0.40061,0.39461,0.22516,1.4592,2.01147,1.68154,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,4126.84,1.3053,2.09778,1.52415,2.16586,0.48587,0.45126,0.44884,0.26843,1.34177,1.75571,1.58492,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4586.57,1.24413,1.89147,1.47515,1.85695,0.57507,0.52795,0.54487,0.3395,1.23338,1.52413,1.46416,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5033.35,1.20493,1.76509,1.44258,1.64168,0.62307,0.57709,0.60812,0.39647,1.20245,1.37764,1.4299,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5484.41,1.1781,1.67347,1.42297,1.5129,0.63858,0.57158,0.60883,0.39546,1.17366,1.39044,1.40184,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5915.68,1.15302,1.6105,1.40184,1.41216,0.65504,0.58886,0.64141,0.42303,1.16182,1.31258,1.38891,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6358.7,1.12787,1.54415,1.38264,1.34097,0.68901,0.60442,0.65931,0.44689,1.12814,1.22808,1.36344,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6809.22,1.11887,1.51029,1.37488,1.28991,0.72831,0.61062,0.68997,0.46492,1.11707,1.15862,1.34905,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7261.16,1.10577,1.47982,1.36238,1.23677,0.6994,0.62511,0.69124,0.47419,1.08923,1.15045,1.31681,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7710.07,1.08687,1.44299,1.3505,1.21453,0.7293,0.64324,0.71803,0.49612,1.07751,1.09307,1.30797,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
