epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,592.227,1.00042,2.39819,1.27747,5.23522,0.68482,0.60368,0.66913,0.45425,1.03421,1.32849,1.25768,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1083.97,1.09156,1.87085,1.3426,2.72643,0.59057,0.55162,0.57228,0.36457,1.18588,1.6012,1.41364,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1556.75,1.19833,1.95978,1.42964,2.32331,0.51503,0.40693,0.412,0.24166,1.37381,1.94776,1.58193,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,1991.73,1.24996,1.9383,1.46984,2.21201,0.56918,0.52894,0.5533,0.35101,1.22624,1.48469,1.45342,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2479.85,1.20506,1.75414,1.43329,2.0699,0.626,0.56444,0.59826,0.38049,1.18884,1.39827,1.40516,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3110.07,1.16858,1.64003,1.40355,1.97181,0.67159,0.58379,0.64585,0.43493,1.14436,1.29311,1.37387,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3736.07,1.14471,1.5576,1.38697,1.9076,0.69541,0.60243,0.67173,0.45115,1.11711,1.22145,1.34152,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4363.65,1.12029,1.50098,1.3688,1.84734,0.65903,0.57029,0.62399,0.40343,1.19539,1.33281,1.43399,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4950.07,1.09402,1.44162,1.3473,1.80418,0.73213,0.62622,0.70944,0.48764,1.09113,1.13909,1.31999,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5365.15,1.08543,1.40848,1.34104,1.77932,0.73,0.66943,0.73511,0.50706,1.05941,1.06452,1.28959,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5797.43,1.0757,1.37903,1.33287,1.7461,0.73814,0.64865,0.72428,0.50088,1.0596,1.07902,1.28701,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6220.24,1.05767,1.34708,1.31942,1.72699,0.73568,0.67738,0.75157,0.52614,1.03419,1.02621,1.26768,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6645.73,1.04398,1.31507,1.31348,1.70044,0.75462,0.68123,0.75402,0.53287,1.01416,1.01155,1.25657,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7060.62,1.0351,1.28946,1.30488,1.67891,0.75958,0.6862,0.75896,0.54037,1.00167,0.99901,1.23672,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7479.56,1.03123,1.27888,1.30233,1.65756,0.76343,0.68656,0.76659,0.54841,1.00077,0.96918,1.23947,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7908.45,1.02471,1.25951,1.2945,1.64628,0.76295,0.69806,0.77128,0.55213,0.99397,0.94892,1.23034,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8345.44,1.01039,1.23415,1.28717,1.62855,0.77737,0.70265,0.78162,0.56023,0.98411,0.93528,1.22449,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8784.83,1.00823,1.2191,1.28346,1.61367,0.77966,0.70959,0.7831,0.56173,0.98411,0.92046,1.22051,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,9216.89,1.00055,1.20986,1.28014,1.60202,0.77355,0.71675,0.79152,0.57688,0.96234,0.90937,1.20596,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9661.55,0.99295,1.19386,1.27261,1.58898,0.79037,0.71236,0.79193,0.57575,0.96459,0.89911,1.20503,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,10085.8,0.99151,1.18573,1.27062,1.57801,0.78393,0.71714,0.798,0.58072,0.96137,0.8838,1.20252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10525.4,0.98178,1.16689,1.26422,1.56789,0.7823,0.7211,0.80445,0.5896,0.95649,0.86958,1.19683,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10950,0.97949,1.16426,1.26381,1.56205,0.79268,0.7251,0.80562,0.59129,0.94861,0.86937,1.19216,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
