epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,670.982,1.02017,2.38074,1.28729,0.61296,0.66726,0.63097,0.67901,0.45358,1.06158,1.32656,1.27334,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1188.44,1.08021,1.79384,1.32377,0.32205,0.62278,0.56349,0.6001,0.39317,1.13515,1.47871,1.35652,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1670.27,1.16949,1.90053,1.39954,0.3086,0.52208,0.41608,0.43447,0.25889,1.30702,1.80225,1.5012,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2304.41,1.21595,1.89044,1.44167,0.30961,0.59587,0.51854,0.55307,0.3481,1.22347,1.53009,1.46555,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2961.13,1.17691,1.71255,1.40879,0.28788,0.65385,0.5837,0.62368,0.403,1.17494,1.36136,1.38868,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3630.51,1.145,1.60868,1.38542,0.27344,0.65909,0.6127,0.65757,0.44155,1.12095,1.29549,1.34686,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4292.77,1.11612,1.52103,1.36521,0.26192,0.69432,0.62317,0.69049,0.46446,1.10071,1.19082,1.32684,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4951.52,1.09675,1.47092,1.35006,0.25364,0.72669,0.63805,0.71517,0.49051,1.08986,1.13365,1.30693,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5620.74,1.0744,1.41223,1.3329,0.24638,0.74351,0.64043,0.71991,0.49746,1.07894,1.12095,1.29988,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6290.64,1.06525,1.38361,1.32777,0.24166,0.74427,0.66424,0.74244,0.5166,1.04596,1.04651,1.27756,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6958.58,1.05865,1.35694,1.32122,0.23712,0.71438,0.6742,0.73303,0.5119,1.04885,1.0669,1.26784,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7624.22,1.04072,1.32044,1.30858,0.23302,0.7602,0.6794,0.7618,0.53385,1.02554,1.00593,1.25903,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8281.34,1.02879,1.29464,1.3012,0.23027,0.75992,0.67591,0.75354,0.5338,1.02672,1.01345,1.26143,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8931.72,1.01887,1.26916,1.29282,0.22715,0.77304,0.69439,0.77444,0.55029,1.00287,0.98025,1.23669,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
