epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,575.662,1.00947,2.40027,1.27844,6.12987,0.69111,0.61645,0.67626,0.4503,1.06094,1.32108,1.27746,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1072.1,1.09903,1.8275,1.34165,4.03538,0.63839,0.56132,0.60835,0.3874,1.1617,1.44831,1.38095,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1550.76,1.19888,1.95625,1.42315,3.72548,0.51877,0.46805,0.47669,0.28006,1.33305,1.72208,1.534,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2028.05,1.24973,1.95658,1.46356,3.38914,0.59305,0.50969,0.54233,0.33484,1.23426,1.55326,1.46179,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2483.95,1.20122,1.77391,1.42434,2.8747,0.58513,0.51731,0.53788,0.33787,1.22148,1.64473,1.42141,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2950.92,1.17084,1.6625,1.39991,2.56492,0.68165,0.60018,0.65109,0.42742,1.13657,1.31643,1.35825,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3430.75,1.14348,1.57869,1.38147,2.36914,0.68453,0.61065,0.66515,0.44278,1.12723,1.24271,1.34188,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3888.63,1.12402,1.52121,1.36694,2.23143,0.71236,0.60803,0.6787,0.45494,1.11224,1.2286,1.33385,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4336.78,1.09734,1.45691,1.34635,2.13243,0.71485,0.65694,0.7182,0.49335,1.07843,1.1261,1.30146,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4786.92,1.08827,1.4277,1.34113,2.07511,0.73047,0.66454,0.72939,0.5028,1.07789,1.08925,1.30089,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5223.25,1.07977,1.39162,1.33169,2.01387,0.73375,0.66476,0.73341,0.5075,1.0561,1.08244,1.27684,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5683.71,1.06374,1.3624,1.32264,1.97304,0.75443,0.67268,0.75009,0.52293,1.04577,1.03216,1.2714,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6134.55,1.05227,1.33127,1.31614,1.93221,0.74884,0.68162,0.75879,0.5285,1.03586,1.03106,1.26609,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6595.61,1.04121,1.30663,1.30692,1.90068,0.76904,0.67182,0.76142,0.54074,1.01662,1.00081,1.24876,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7073.41,1.04109,1.29295,1.30603,1.86787,0.76693,0.69174,0.77452,0.55222,1.00963,0.97028,1.2381,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7557.18,1.02907,1.27116,1.29615,1.84337,0.77539,0.67947,0.77065,0.55014,1.00921,0.96944,1.2371,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8004.15,1.01708,1.24753,1.28985,1.81331,0.78295,0.70095,0.78154,0.55779,0.99834,0.94501,1.23197,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8449.91,1.01702,1.23288,1.28651,1.79377,0.77569,0.7084,0.78876,0.56657,0.9906,0.92323,1.22303,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8868.81,1.01152,1.22368,1.28518,1.77646,0.78406,0.71015,0.79009,0.57118,0.97631,0.91859,1.21314,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,9316.87,1.00451,1.20801,1.27757,1.75531,0.786,0.71926,0.7975,0.57826,0.97709,0.907,1.21176,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9759.56,0.99985,1.19773,1.27644,1.74093,0.79638,0.70493,0.79825,0.57999,0.96821,0.89698,1.20718,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10217.1,0.99209,1.18291,1.27022,1.72092,0.78853,0.71936,0.8017,0.58544,0.96002,0.88334,1.19782,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10666.2,0.9888,1.17724,1.26853,1.71107,0.79536,0.72591,0.80624,0.58847,0.96146,0.87398,1.19715,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,11142.9,0.98981,1.1608,1.26438,1.70171,0.79206,0.72603,0.81105,0.5961,0.94922,0.86334,1.18708,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,11592.1,0.9756,1.14642,1.25829,1.67997,0.78707,0.74346,0.81635,0.60023,0.95102,0.85341,1.18829,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,12039.8,0.97355,1.14173,1.25712,1.66536,0.8023,0.73115,0.8168,0.60256,0.93924,0.84613,1.18067,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,12509.1,0.96747,1.12757,1.25429,1.66103,0.8028,0.7385,0.81902,0.60408,0.94128,0.83955,1.18185,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,12976,0.97054,1.12606,1.2533,1.64125,0.81593,0.73311,0.82311,0.61171,0.93436,0.82997,1.17583,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,13444.8,0.961,1.12053,1.24832,1.63614,0.8075,0.73953,0.82488,0.61094,0.93234,0.82931,1.17383,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,13891.9,0.96172,1.11357,1.24637,1.62189,0.80562,0.74428,0.82748,0.61551,0.92923,0.82114,1.17089,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,14338.2,0.9578,1.10602,1.2427,1.61601,0.80765,0.74582,0.82914,0.61446,0.92914,0.81445,1.16953,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
