epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.67,1.02986,2.46136,1.29588,5.60456,0.62381,0.5894,0.61461,0.39844,1.10673,1.40454,1.33848,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1069.69,1.10911,1.91472,1.36367,2.60755,0.59904,0.54524,0.55246,0.34662,1.21441,1.58092,1.4276,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1522.53,1.21279,2.05427,1.45397,2.09491,0.45203,0.4232,0.3933,0.22996,1.40235,1.98142,1.62729,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,1963.45,1.25714,2.04539,1.49652,1.90374,0.55892,0.468,0.49931,0.30575,1.31806,1.68736,1.56722,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2390.12,1.20175,1.83145,1.45095,1.75096,0.58445,0.50957,0.52594,0.32932,1.23236,1.55857,1.46339,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2855.92,1.16599,1.71407,1.42153,1.66716,0.63622,0.55689,0.60285,0.39349,1.16677,1.4086,1.41016,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3282.03,1.13589,1.62818,1.40203,1.61325,0.66183,0.57374,0.62493,0.41362,1.14592,1.34408,1.37839,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3676.36,1.11373,1.56232,1.3818,1.5713,0.69343,0.60678,0.67359,0.45639,1.11373,1.19995,1.35398,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4095.95,1.08846,1.50067,1.36334,1.53252,0.68568,0.61591,0.67111,0.45674,1.10144,1.19969,1.34889,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4534.63,1.07848,1.45962,1.35567,1.51109,0.72701,0.62865,0.70391,0.4828,1.0908,1.11637,1.33161,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4967.91,1.0654,1.42867,1.34307,1.48477,0.71978,0.63722,0.70959,0.49164,1.05842,1.10867,1.29788,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5407,1.05208,1.39955,1.33383,1.46691,0.71929,0.65612,0.72701,0.50834,1.03866,1.06352,1.28943,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5833.35,1.03437,1.36276,1.32456,1.44569,0.73568,0.65914,0.72973,0.51214,1.03747,1.04795,1.29039,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6255.65,1.02473,1.33876,1.31442,1.43086,0.74846,0.66149,0.73811,0.52116,1.02489,1.02804,1.26834,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6673.7,1.0255,1.32318,1.31418,1.41627,0.75024,0.6674,0.74797,0.52852,1.01218,1.00701,1.26124,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7112.13,1.01473,1.29966,1.30572,1.40594,0.75021,0.68883,0.75594,0.53858,1.01188,0.98377,1.25922,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7532.51,1.00112,1.27252,1.29571,1.38814,0.76917,0.68555,0.76,0.5468,0.99335,0.96741,1.2491,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7959.16,0.99986,1.26226,1.29351,1.3753,0.77767,0.67475,0.76701,0.55099,0.98923,0.95161,1.23959,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8398.94,0.98962,1.24753,1.28843,1.36451,0.76837,0.69706,0.77415,0.55848,0.97579,0.93944,1.23539,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8834.95,0.9853,1.23187,1.28399,1.357,0.7712,0.71259,0.78154,0.56491,0.96964,0.92286,1.22448,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,9266.56,0.98364,1.21945,1.28185,1.34757,0.76931,0.70579,0.78342,0.57043,0.96627,0.91262,1.22441,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,9689.59,0.97204,1.19777,1.27431,1.33972,0.7724,0.70752,0.78519,0.5727,0.96144,0.90198,1.21877,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,10122.7,0.96887,1.19481,1.27211,1.33157,0.77859,0.7195,0.79309,0.5791,0.95997,0.89349,1.21471,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,10542.2,0.96925,1.17771,1.26774,1.32698,0.79189,0.71351,0.79759,0.58535,0.95186,0.8766,1.20273,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10959.8,0.95459,1.16203,1.26145,1.31482,0.79194,0.71604,0.79612,0.58567,0.9472,0.87758,1.20246,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,11355.6,0.95399,1.15501,1.26038,1.31045,0.78046,0.71831,0.79795,0.58542,0.94948,0.86843,1.20668,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11754.1,0.94664,1.14366,1.25745,1.29794,0.79675,0.72249,0.80068,0.59015,0.94097,0.85933,1.20019,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,12148.8,0.95006,1.14704,1.25716,1.2991,0.80808,0.72293,0.80968,0.60018,0.93142,0.8493,1.18671,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,12550.6,0.9451,1.13888,1.25456,1.29298,0.79038,0.72812,0.80564,0.59686,0.93244,0.85132,1.18823,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,13003.5,0.94324,1.1273,1.2503,1.28695,0.79784,0.7366,0.81284,0.60337,0.93209,0.83949,1.18783,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,13435.2,0.93904,1.12118,1.24931,1.27885,0.80347,0.72747,0.81284,0.60407,0.9251,0.83494,1.18632,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,13874.4,0.93466,1.11152,1.24712,1.27391,0.7897,0.73977,0.81354,0.60538,0.92092,0.83066,1.18232,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14354.9,0.93432,1.10464,1.24454,1.27296,0.79443,0.73973,0.81354,0.60762,0.92275,0.82835,1.18264,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14799.5,0.92781,1.0899,1.23965,1.26288,0.80768,0.72737,0.81395,0.60719,0.91993,0.8238,1.1818,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15246.6,0.92508,1.08849,1.23902,1.26217,0.80748,0.73667,0.81778,0.61047,0.92062,0.82004,1.18266,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15693.6,0.92686,1.07777,1.23826,1.25714,0.80508,0.74222,0.81689,0.61012,0.92117,0.81574,1.18051,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16125,0.91716,1.06736,1.2323,1.25178,0.81471,0.73164,0.81745,0.61031,0.91981,0.81212,1.17895,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16559.6,0.91281,1.06206,1.23062,1.24784,0.81438,0.73799,0.82056,0.6134,0.91444,0.80809,1.17452,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16990.6,0.91089,1.06479,1.22799,1.24517,0.80846,0.7422,0.82363,0.61757,0.91435,0.80155,1.17421,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17429.4,0.91009,1.04703,1.22304,1.24107,0.81245,0.74176,0.82475,0.61954,0.91137,0.79598,1.17249,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17865.1,0.91063,1.05272,1.22545,1.23688,0.81628,0.74356,0.82542,0.61862,0.9088,0.79401,1.17057,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18310.1,0.90357,1.03665,1.22284,1.23232,0.81737,0.74268,0.82536,0.62039,0.90973,0.79014,1.17025,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18749.3,0.89934,1.02698,1.21736,1.22795,0.80588,0.75559,0.82524,0.62056,0.90985,0.78927,1.17002,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19149.2,0.89593,1.02459,1.21747,1.22444,0.81344,0.75113,0.8254,0.62129,0.90904,0.78598,1.16999,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19534.2,0.8972,1.0233,1.21783,1.21884,0.80704,0.75315,0.82665,0.62272,0.90845,0.78361,1.16967,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19926.7,0.9003,1.0202,1.21996,1.216,0.81481,0.74748,0.82848,0.62372,0.90652,0.78115,1.16787,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20313.5,0.89579,1.01112,1.21559,1.21619,0.82303,0.74372,0.83073,0.62516,0.90486,0.77804,1.16723,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20705.7,0.88873,1.00532,1.21032,1.21304,0.8139,0.75367,0.82952,0.6242,0.90317,0.77911,1.16581,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21092.1,0.88696,0.99839,1.21012,1.20766,0.81229,0.75711,0.83035,0.62625,0.90135,0.77723,1.16509,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21481.7,0.88824,0.99174,1.2101,1.20644,0.81422,0.75696,0.83003,0.62611,0.90082,0.77404,1.16476,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21887.2,0.88069,0.97952,1.20335,1.20031,0.81848,0.75236,0.8302,0.62656,0.90073,0.77371,1.16424,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22273.3,0.87864,0.98092,1.20334,1.19631,0.81361,0.76162,0.83104,0.6284,0.90012,0.77312,1.16352,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22662.1,0.87413,0.97453,1.20078,1.19186,0.81761,0.75581,0.83213,0.62881,0.89893,0.77061,1.16307,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,23051.7,0.87683,0.97309,1.201,1.1898,0.80948,0.75958,0.83209,0.62939,0.89909,0.76832,1.16322,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23441.3,0.87236,0.97203,1.19872,1.18569,0.81209,0.76042,0.83285,0.62979,0.89866,0.76659,1.16307,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23831.3,0.87058,0.96663,1.19825,1.18307,0.81462,0.76177,0.83296,0.62989,0.89834,0.76562,1.16306,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24221.9,0.8698,0.95486,1.19656,1.17845,0.81292,0.76133,0.83356,0.63094,0.89775,0.76453,1.16262,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24609,0.86481,0.95956,1.19714,1.17926,0.80913,0.76345,0.8336,0.63118,0.89779,0.76414,1.16221,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,24998.6,0.85816,0.94578,1.19042,1.17063,0.81496,0.76075,0.83404,0.63184,0.8972,0.76346,1.16176,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25384.8,0.86107,0.94361,1.19018,1.1703,0.8115,0.76346,0.8342,0.63204,0.89678,0.76298,1.16124,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,25773.5,0.85827,0.94262,1.18933,1.16644,0.8145,0.76382,0.83441,0.63268,0.89617,0.76221,1.16064,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26163.3,0.86067,0.93686,1.18913,1.16729,0.81517,0.76144,0.83462,0.63268,0.89567,0.76152,1.16055,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26546.7,0.85332,0.92786,1.18893,1.15829,0.81692,0.7604,0.83524,0.63333,0.89527,0.76039,1.16003,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26934.6,0.85026,0.92465,1.18424,1.15932,0.81689,0.76137,0.83545,0.63336,0.8949,0.75978,1.15956,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27322.9,0.84451,0.91798,1.18113,1.1539,0.81916,0.75827,0.83552,0.63366,0.89446,0.75884,1.15905,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,27710.4,0.84302,0.9155,1.17976,1.15203,0.82204,0.75611,0.83585,0.63413,0.89429,0.75808,1.15878,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28101.7,0.84747,0.91027,1.18057,1.14918,0.82223,0.75661,0.83609,0.63417,0.89398,0.75728,1.15851,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28486.6,0.84596,0.90812,1.1803,1.14707,0.82247,0.75791,0.83614,0.63421,0.89414,0.75683,1.15861,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,28872.2,0.84071,0.89779,1.17687,1.14194,0.82263,0.75963,0.83643,0.63464,0.89408,0.75652,1.15851,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29263.2,0.83805,0.89301,1.17314,1.14032,0.8181,0.76275,0.83619,0.63474,0.89401,0.75644,1.15854,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29650.3,0.83698,0.8939,1.1744,1.13519,0.81865,0.76167,0.83622,0.6345,0.89401,0.75589,1.1586,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30038.5,0.83104,0.88618,1.17187,1.13178,0.81931,0.76134,0.8362,0.63453,0.89399,0.75525,1.15867,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30419.9,0.83296,0.8813,1.16937,1.1292,0.81844,0.76297,0.8362,0.63449,0.89408,0.75474,1.15863,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,30826,0.83484,0.88505,1.17076,1.13001,0.81528,0.76593,0.83648,0.63439,0.89399,0.75466,1.1585,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
