epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,585.914,1.03338,2.44942,1.29517,0.20039,0.64713,0.61443,0.64658,0.42233,1.10281,1.34201,1.31148,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,1188.57,1.12815,1.94307,1.3704,0.08438,0.57293,0.52889,0.53908,0.33335,1.22829,1.59946,1.43908,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1841.48,1.24122,2.10242,1.46666,0.06578,0.49287,0.39707,0.40223,0.23099,1.39147,1.90866,1.60758,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,2476.07,1.29508,2.09968,1.51515,0.05858,0.52301,0.47432,0.47029,0.28617,1.32247,1.69411,1.55215,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3111.6,1.23492,1.89133,1.46813,0.05367,0.57329,0.49234,0.51304,0.31211,1.27396,1.65758,1.49476,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3743.27,1.19623,1.76102,1.43737,0.05086,0.60231,0.56164,0.5974,0.38478,1.17149,1.39609,1.40362,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4287.63,1.16261,1.6785,1.41573,0.04923,0.64849,0.57634,0.6227,0.4064,1.17411,1.33172,1.39794,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4733.98,1.14158,1.61202,1.39944,0.0479,0.67247,0.60514,0.65677,0.43496,1.13738,1.25256,1.36854,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5273.02,1.10808,1.55252,1.37546,0.04688,0.68317,0.61751,0.67479,0.45687,1.11039,1.20276,1.34944,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5778.2,1.10203,1.50641,1.3687,0.04634,0.69479,0.61646,0.68304,0.46567,1.09168,1.17219,1.33515,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,9869.74,1.09156,1.47597,1.35618,0.04564,0.71217,0.6402,0.70379,0.48275,1.07806,1.12646,1.31138,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,10409.7,1.07298,1.43748,1.34467,0.04525,0.72318,0.64543,0.71464,0.49425,1.05766,1.08667,1.2976,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10982.4,1.05919,1.40999,1.33791,0.04457,0.74665,0.6337,0.71872,0.49522,1.05656,1.09837,1.3007,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,19388.1,1.04863,1.38417,1.32751,0.0442,0.72791,0.66646,0.73506,0.51462,1.03808,1.05252,1.2811,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,19870.2,1.04598,1.36721,1.32596,0.04377,0.74363,0.66334,0.73687,0.51813,1.03,1.03903,1.27121,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,20325.6,1.03615,1.34545,1.31817,0.04352,0.76016,0.66085,0.75008,0.53196,1.01037,1.00275,1.25164,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,20838.7,1.02036,1.31983,1.3091,0.04325,0.75696,0.68277,0.75341,0.53696,1.00872,0.99058,1.2546,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,21298.1,1.02185,1.30334,1.30588,0.04284,0.77117,0.67503,0.75947,0.54189,0.99982,0.97972,1.24576,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,21910.3,1.01217,1.29436,1.30106,0.04265,0.76408,0.6683,0.75709,0.54216,0.98608,0.98285,1.23831,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,22512.9,1.00696,1.27333,1.29637,0.04231,0.7602,0.69684,0.77161,0.55722,0.98004,0.95086,1.22887,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,23065.6,1.00376,1.26082,1.29252,0.0422,0.77658,0.69497,0.78188,0.5635,0.97955,0.93553,1.22635,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,23555,0.99327,1.24186,1.28483,0.04202,0.78015,0.69318,0.7837,0.56776,0.96528,0.92332,1.21549,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,24006.1,0.99209,1.23425,1.28326,0.04182,0.79142,0.69617,0.78934,0.57304,0.96471,0.91336,1.21676,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,24454.2,0.98768,1.21823,1.27746,0.04163,0.77455,0.7106,0.78824,0.57664,0.9664,0.90301,1.21215,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,24881.4,0.97539,1.20128,1.27168,0.04127,0.78052,0.71382,0.79034,0.57646,0.95297,0.896,1.20601,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,25247.9,0.97578,1.19993,1.27107,0.04132,0.7824,0.70842,0.78944,0.57777,0.94939,0.88324,1.20159,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,25591.4,0.96503,1.18329,1.26668,0.04096,0.79396,0.7072,0.79586,0.58491,0.94555,0.87911,1.19642,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,26006.1,0.97218,1.18341,1.26847,0.04087,0.79697,0.7117,0.79884,0.59007,0.93878,0.87193,1.1924,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,26441,0.9606,1.17861,1.26106,0.04065,0.78659,0.71947,0.80014,0.58983,0.93824,0.86767,1.18942,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
