image,point,branch,scale,mask,cells,gt_area_frac,mask_max,wc_max,wc_max_ratio,participation,top1pct_mass,frac_below_0_1,gt_mass
000001,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.6703125,3.983264446258545,2.8561441898345947,0.04462725296616554,0.935216,0.02884,0.0,0.663002
000001,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.6703125,20.81343650817871,,,0.339617,0.143179,0.315469,0.994451
000001,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.6825,2.6000101566314697,4.180759429931641,0.06532436609268188,0.924624,0.023751,0.0,0.793746
000001,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.6825,9.855756759643555,,,0.446756,0.088009,0.30125,0.994465
000001,model.22.cv2.2.1,box,P5,amse_ws(T=1.0),400,0.7,15.631301879882812,14.943193435668945,0.23348739743232727,0.524705,0.122512,0.0,0.908424
000001,model.22.cv2.2.1,box,P5,qmse_iou,400,0.7,3.6495792865753174,,,0.623452,0.036373,0.18,0.969363
000001,model.22.cv3.0.1,cls,P3,amse_ws(T=1.0),6400,0.6703125,3.310898780822754,50.594329833984375,0.39526820182800293,0.976232,0.022766,0.0,0.693798
000001,model.22.cv3.0.1,cls,P3,qmse_score,6400,0.6703125,283.84979248046875,,,0.029663,0.750645,0.57625,0.931377
000001,model.22.cv3.1.1,cls,P4,amse_ws(T=1.0),1600,0.6825,4.918396472930908,75.42278289794922,0.5892404913902283,0.94881,0.034012,0.0,0.734911
000001,model.22.cv3.1.1,cls,P4,qmse_score,1600,0.6825,229.0113067626953,,,0.022672,0.762674,0.840625,0.996581
000001,model.22.cv3.2.1,cls,P5,amse_ws(T=1.0),400,0.7,4.261864185333252,103.31414031982422,0.8071417212486267,0.834277,0.04043,0.0,0.807234
000001,model.22.cv3.2.1,cls,P5,qmse_score,400,0.7,39.64130401611328,,,0.036817,0.380724,0.89,0.999895
000002,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.0275,8.938776016235352,2.8955540657043457,0.0452430322766304,0.916567,0.036073,0.0,0.04974
000002,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.0275,132.24769592285156,,,0.027681,0.586046,0.955,0.815637
000002,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.025,4.429468154907227,2.142660140991211,0.03347906470298767,0.93003,0.037087,0.0,0.066358
000002,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.025,29.247127532958984,,,0.066633,0.288679,0.881875,0.61576
000002,model.22.cv2.2.1,box,P5,amse_ws(T=1.0),400,0.03,2.362744092941284,2.5707004070281982,0.0401671938598156,0.964406,0.022268,0.0,0.055471
000002,model.22.cv2.2.1,box,P5,qmse_iou,400,0.03,19.032278060913086,,,0.200048,0.168851,0.68,0.364082
000002,model.22.cv3.0.1,cls,P3,amse_ws(T=1.0),6400,0.0275,7.030386447906494,37.529327392578125,0.2931978702545166,0.934707,0.035064,0.0,0.044356
000002,model.22.cv3.0.1,cls,P3,qmse_score,6400,0.0275,1394.03271484375,,,0.005865,0.907426,0.912969,0.649592
000002,model.22.cv3.1.1,cls,P4,amse_ws(T=1.0),1600,0.025,31.297019958496094,76.72388458251953,0.5994053483009338,0.563233,0.207828,0.0,0.279546
000002,model.22.cv3.1.1,cls,P4,qmse_score,1600,0.025,164.1301727294922,,,0.006484,0.997676,0.985625,0.995518
000002,model.22.cv3.2.1,cls,P5,amse_ws(T=1.0),400,0.03,2.139662742614746,109.20714569091797,0.8531808257102966,0.976261,0.020737,0.0,0.044505
000002,model.22.cv3.2.1,cls,P5,qmse_score,400,0.03,34.86790084838867,,,0.355642,0.198159,0.0,0.194235
000003,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.026875,4.741440296173096,2.940781354904175,0.04594970867037773,0.927528,0.031874,0.0,0.050282
000003,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.026875,72.68665313720703,,,0.048563,0.426907,0.919375,0.671119
000003,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.03,3.692460536956787,2.1085028648376465,0.032945357263088226,0.899735,0.033474,0.0,0.080286
000003,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.03,22.116004943847656,,,0.089997,0.21631,0.855,0.531246
000003,model.22.cv2.2.1,box,P5,amse_ws(T=1.0),400,0.02,2.3728690147399902,1.9949992895126343,0.03117186389863491,0.956378,0.022696,0.0,0.033883
000003,model.22.cv2.2.1,box,P5,qmse_iou,400,0.02,18.751066207885742,,,0.207534,0.153476,0.7025,0.22417
000003,model.22.cv3.0.1,cls,P3,amse_ws(T=1.0),6400,0.026875,7.030978679656982,28.1509952545166,0.21992965042591095,0.90785,0.04451,0.0,0.062971
000003,model.22.cv3.0.1,cls,P3,qmse_score,6400,0.026875,310.3478698730469,,,0.029264,0.693064,0.826406,0.181951
000003,model.22.cv3.1.1,cls,P4,amse_ws(T=1.0),1600,0.03,11.87256908416748,71.25260162353516,0.5566609501838684,0.85474,0.069778,0.0,0.115038
000003,model.22.cv3.1.1,cls,P4,qmse_score,1600,0.03,161.3876953125,,,0.012432,0.89254,0.94,0.937739
000003,model.22.cv3.2.1,cls,P5,amse_ws(T=1.0),400,0.02,1.7982423305511475,103.80773162841797,0.8109979033470154,0.98778,0.017604,0.0,0.023695
000003,model.22.cv3.2.1,cls,P5,qmse_score,400,0.02,24.835256576538086,,,0.258707,0.179993,0.0775,0.165893
000004,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.08640625,7.784328460693359,3.59202241897583,0.056125350296497345,0.895527,0.044804,0.0,0.172597
000004,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.08640625,36.578834533691406,,,0.09317,0.291844,0.838594,0.735295
000004,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.09,6.712991714477539,2.278822898864746,0.03560660779476166,0.778139,0.051278,0.0,0.289823
000004,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.09,9.650540351867676,,,0.181,0.095514,0.725,0.652273
000004,model.22.cv2.2.1,box,P5,amse_ws(T=1.0),400,0.08,5.094942092895508,3.0636370182037354,0.047869328409433365,0.839627,0.048144,0.0,0.216784
000004,model.22.cv2.2.1,box,P5,qmse_iou,400,0.08,10.074746131896973,,,0.2867,0.100594,0.5175,0.424315
000004,model.22.cv3.0.1,cls,P3,amse_ws(T=1.0),6400,0.08640625,14.35141372680664,30.536672592163086,0.2385677546262741,0.822453,0.082059,0.0,0.20374
000004,model.22.cv3.0.1,cls,P3,qmse_score,6400,0.08640625,267.21612548828125,,,0.007609,0.96974,0.957969,0.714894
000004,model.22.cv3.1.1,cls,P4,amse_ws(T=1.0),1600,0.09,18.45943832397461,91.50555419921875,0.7148871421813965,0.442129,0.134063,0.0,0.491426
000004,model.22.cv3.1.1,cls,P4,qmse_score,1600,0.09,34.791229248046875,,,0.036522,0.340677,0.9525,0.813232
000004,model.22.cv3.2.1,cls,P5,amse_ws(T=1.0),400,0.08,9.050683975219727,99.93336486816406,0.7807294130325317,0.772263,0.08722,0.0,0.251889
000004,model.22.cv3.2.1,cls,P5,qmse_score,400,0.08,65.03209686279297,,,0.017326,0.646865,0.9625,0.998446
000006,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.18390625,6.083380222320557,2.3168752193450928,0.036201175302267075,0.855272,0.044512,0.0,0.295598
000006,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.18390625,19.28852081298828,,,0.178649,0.138677,0.739375,0.923993
000006,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.176875,5.904389381408691,2.2595884799957275,0.03530606999993324,0.802498,0.042283,0.0,0.375983
000006,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.176875,11.876265525817871,,,0.243426,0.107395,0.62375,0.810179
000006,model.22.cv2.2.1,box,P5,amse_ws(T=1.0),400,0.18,4.963326454162598,1.6221214532852173,0.02534564770758152,0.737564,0.046261,0.0,0.457494
000006,model.22.cv2.2.1,box,P5,qmse_iou,400,0.18,4.176632881164551,,,0.401371,0.041521,0.4125,0.636543
000006,model.22.cv3.0.1,cls,P3,amse_ws(T=1.0),6400,0.18390625,9.179418563842773,37.649574279785156,0.29413729906082153,0.8684,0.054022,0.0,0.30483
000006,model.22.cv3.0.1,cls,P3,qmse_score,6400,0.18390625,423.0166320800781,,,0.006012,0.961428,0.928906,0.512709
000006,model.22.cv3.1.1,cls,P4,amse_ws(T=1.0),1600,0.176875,8.025474548339844,41.92461013793945,0.327536016702652,0.810542,0.060125,0.0,0.363607
000006,model.22.cv3.1.1,cls,P4,qmse_score,1600,0.176875,110.09717559814453,,,0.031742,0.679886,0.86625,0.912116
000006,model.22.cv3.2.1,cls,P5,amse_ws(T=1.0),400,0.18,7.6492533683776855,75.46920776367188,0.5896031856536865,0.660411,0.068133,0.0,0.521871
000006,model.22.cv3.2.1,cls,P5,qmse_score,400,0.18,15.209738731384277,,,0.089402,0.151508,0.8775,0.99762
000008,model.22.cv2.0.1,box,P3,amse_ws(T=1.0),6400,0.1603125,7.3304243087768555,2.0464234352111816,0.03197536617517471,0.822977,0.049777,0.0,0.215544
000008,model.22.cv2.0.1,box,P3,qmse_iou,6400,0.1603125,23.61033821105957,,,0.167233,0.145224,0.76625,0.90092
000008,model.22.cv2.1.1,box,P4,amse_ws(T=1.0),1600,0.16625,4.138907432556152,2.95713472366333,0.04620523005723953,0.829501,0.034908,0.0,0.229695
000008,model.22.cv2.1.1,box,P4,qmse_iou,1600,0.16625,13.605554580688477,,,0.218578,0.120741,0.673125,0.816339
