epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,222.905,2.19853,4.34119,0.03545,0.14507,0.14482,0.08309,0.04114,1.92235,3.41935,0.03964,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,410.375,1.5927,2.78282,0.02228,0.36215,0.29762,0.26528,0.14687,1.73604,2.41908,0.03395,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792
3,594.996,1.48923,2.39864,0.02026,0.37252,0.27186,0.25138,0.13607,1.75758,2.61254,0.03595,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938
4,790.562,1.46986,2.29198,0.02005,0.43248,0.35523,0.34889,0.19738,1.61899,2.20845,0.03186,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,976.241,1.42877,2.17922,0.01921,0.45846,0.37923,0.36797,0.2169,1.49281,2.05075,0.02847,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1154.77,1.39953,2.11344,0.01888,0.5633,0.44612,0.472,0.28522,1.49557,1.84389,0.02877,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1385.29,1.37814,2.05755,0.01836,0.55322,0.44175,0.46324,0.28677,1.42975,1.8459,0.02694,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1579.36,1.362,2.0192,0.01814,0.52822,0.42092,0.43967,0.26671,1.47227,1.85064,0.02803,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1773.5,1.33668,1.97166,0.01779,0.5893,0.4625,0.49508,0.29972,1.41329,1.74259,0.02681,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1957.94,1.3373,1.94766,0.01761,0.60381,0.48563,0.52869,0.32938,1.40289,1.63713,0.02652,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2147.37,1.32861,1.92591,0.01748,0.60141,0.47053,0.51901,0.32843,1.3834,1.6737,0.02578,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2335.46,1.31966,1.89999,0.01735,0.61913,0.49782,0.54347,0.35151,1.35805,1.60547,0.02533,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2529.69,1.31827,1.88818,0.0172,0.63929,0.53109,0.58304,0.37393,1.34776,1.50828,0.02493,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2722.3,1.30666,1.85531,0.01708,0.64919,0.51213,0.57883,0.38099,1.34679,1.52318,0.02473,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2913.16,1.303,1.84068,0.01693,0.63276,0.50501,0.55884,0.36905,1.32568,1.56732,0.02417,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3098.31,1.29841,1.82686,0.01699,0.62188,0.54421,0.58746,0.39085,1.30551,1.50832,0.02398,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3274.84,1.29022,1.80679,0.01676,0.66585,0.53606,0.59711,0.39652,1.29413,1.49151,0.02353,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3451.84,1.28413,1.79592,0.01669,0.65325,0.55085,0.60445,0.40496,1.28335,1.42113,0.02322,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3632.15,1.28496,1.78263,0.01678,0.666,0.55879,0.62057,0.41605,1.28712,1.38489,0.02324,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3807.88,1.28486,1.76087,0.01658,0.6641,0.56389,0.62511,0.41939,1.26352,1.39762,0.02272,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3991.58,1.27548,1.76548,0.01643,0.68786,0.57505,0.64114,0.43409,1.26319,1.34592,0.02265,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4175.07,1.26826,1.74512,0.01639,0.68028,0.57692,0.64025,0.43148,1.25663,1.3389,0.02251,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4364.15,1.26376,1.72724,0.01636,0.68348,0.58693,0.6467,0.43808,1.2348,1.34216,0.02212,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4546.14,1.26252,1.7178,0.01615,0.69633,0.59982,0.66697,0.4571,1.22673,1.29515,0.02173,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4732.78,1.25564,1.70913,0.0162,0.71834,0.59413,0.6672,0.45994,1.2272,1.2896,0.02183,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4914.34,1.24668,1.71062,0.01606,0.71379,0.59381,0.66602,0.45986,1.21014,1.28531,0.02143,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5095.89,1.26123,1.69239,0.01624,0.71314,0.61553,0.68438,0.47154,1.21274,1.23811,0.02151,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5273.64,1.25402,1.69621,0.01604,0.71385,0.61229,0.68357,0.47563,1.19809,1.24327,0.02108,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5469.34,1.24464,1.68798,0.01592,0.70401,0.62362,0.6881,0.48168,1.19014,1.22594,0.02079,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5664,1.24473,1.66811,0.01593,0.74163,0.61521,0.69932,0.48813,1.19335,1.19787,0.021,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
