epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.663,1.9881,3.79736,0.03085,0.16007,0.1778,0.10953,0.05228,1.88805,3.01591,0.0388,0.0298842,0.00996139,0.0298842,0.00996139,0.0298842,0.00996139,0.0298842,0.00996139
2,367.987,1.54566,2.58006,0.02154,0.34035,0.27661,0.23445,0.12681,1.74243,2.60333,0.03568,0.02973,0.00991,0.02973,0.00991,0.02973,0.00991,0.02973,0.00991
3,551.073,1.46359,2.32787,0.0199,0.41899,0.31313,0.29931,0.16728,1.6696,2.31263,0.03323,0.02946,0.00982,0.02946,0.00982,0.02946,0.00982,0.02946,0.00982
4,728.79,1.43108,2.19744,0.01932,0.50312,0.38975,0.40658,0.23957,1.52896,1.97411,0.0296,0.02919,0.00973,0.02919,0.00973,0.02919,0.00973,0.02919,0.00973
5,921.211,1.39956,2.12701,0.01874,0.51529,0.41848,0.42852,0.24964,1.54098,1.90594,0.02974,0.02892,0.00964,0.02892,0.00964,0.02892,0.00964,0.02892,0.00964
6,1108.14,1.38099,2.07732,0.01855,0.51757,0.4368,0.44776,0.27803,1.46469,1.89422,0.02758,0.02865,0.00955,0.02865,0.00955,0.02865,0.00955,0.02865,0.00955
7,1291.86,1.36555,2.03603,0.01813,0.55716,0.42973,0.45154,0.27358,1.46325,1.86923,0.02758,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946,0.02838,0.00946
8,1480.99,1.3507,2.00636,0.01798,0.57176,0.48425,0.50599,0.31741,1.4339,1.67308,0.02671,0.02811,0.00937,0.02811,0.00937,0.02811,0.00937,0.02811,0.00937
9,1658.05,1.32603,1.96459,0.01766,0.58843,0.46147,0.49744,0.30785,1.42385,1.72516,0.02683,0.02784,0.00928,0.02784,0.00928,0.02784,0.00928,0.02784,0.00928
10,1840.5,1.33162,1.93934,0.01755,0.59259,0.51118,0.54241,0.3486,1.36802,1.59144,0.02532,0.02757,0.00919,0.02757,0.00919,0.02757,0.00919,0.02757,0.00919
11,2023.85,1.32611,1.91945,0.01746,0.58644,0.50511,0.53562,0.34213,1.36306,1.63506,0.02534,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091,0.0273,0.0091
12,2203.36,1.31665,1.89334,0.01731,0.59162,0.50726,0.54194,0.34929,1.36467,1.62414,0.02545,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
13,2374.16,1.31877,1.88755,0.01716,0.62786,0.52106,0.5695,0.36401,1.34869,1.54395,0.02495,0.02676,0.00892,0.02676,0.00892,0.02676,0.00892,0.02676,0.00892
14,2545.27,1.30616,1.85841,0.01706,0.6334,0.54743,0.58953,0.38635,1.31072,1.48649,0.0237,0.02649,0.00883,0.02649,0.00883,0.02649,0.00883,0.02649,0.00883
15,2718.69,1.30028,1.84635,0.01682,0.60926,0.53442,0.58012,0.38068,1.32571,1.51101,0.02431,0.02622,0.00874,0.02622,0.00874,0.02622,0.00874,0.02622,0.00874
16,2890.01,1.29536,1.83786,0.01694,0.63358,0.53713,0.58988,0.38778,1.29754,1.50194,0.02362,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865,0.02595,0.00865
17,3060.55,1.28712,1.81598,0.01668,0.65755,0.52843,0.59118,0.39306,1.3051,1.50112,0.02378,0.02568,0.00856,0.02568,0.00856,0.02568,0.00856,0.02568,0.00856
18,3231.12,1.28908,1.81061,0.01679,0.65417,0.54817,0.60048,0.39635,1.3084,1.44753,0.02404,0.02541,0.00847,0.02541,0.00847,0.02541,0.00847,0.02541,0.00847
19,3401.88,1.28291,1.79721,0.01674,0.65953,0.56334,0.61618,0.41316,1.26949,1.3905,0.0228,0.02514,0.00838,0.02514,0.00838,0.02514,0.00838,0.02514,0.00838
20,3578.15,1.27658,1.78626,0.01648,0.66177,0.55959,0.61946,0.40974,1.27117,1.40342,0.02297,0.02487,0.00829,0.02487,0.00829,0.02487,0.00829,0.02487,0.00829
21,3766.62,1.28124,1.77139,0.01655,0.68374,0.55416,0.62321,0.42063,1.27965,1.41713,0.02299,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082,0.0246,0.0082
22,3951.34,1.27231,1.74481,0.01639,0.67505,0.58123,0.64219,0.43291,1.27053,1.36175,0.02303,0.02433,0.00811,0.02433,0.00811,0.02433,0.00811,0.02433,0.00811
23,4127.47,1.26801,1.74096,0.01644,0.70059,0.57985,0.6584,0.44798,1.23062,1.31729,0.02194,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
24,4324.03,1.2671,1.7241,0.01628,0.70628,0.5946,0.66525,0.45377,1.23147,1.30927,0.02208,0.02379,0.00793,0.02379,0.00793,0.02379,0.00793,0.02379,0.00793
25,4513.59,1.25983,1.72464,0.01629,0.69383,0.60468,0.67036,0.45973,1.22134,1.2973,0.02193,0.02352,0.00784,0.02352,0.00784,0.02352,0.00784,0.02352,0.00784
26,4691.83,1.25429,1.72032,0.01617,0.70651,0.61465,0.67798,0.4652,1.22048,1.27139,0.02158,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775,0.02325,0.00775
27,4867.88,1.26437,1.70626,0.01631,0.70916,0.59633,0.67104,0.46251,1.22013,1.26986,0.02154,0.02298,0.00766,0.02298,0.00766,0.02298,0.00766,0.02298,0.00766
28,5054.12,1.26229,1.703,0.01628,0.71242,0.61225,0.68307,0.47333,1.20878,1.24689,0.02142,0.02271,0.00757,0.02271,0.00757,0.02271,0.00757,0.02271,0.00757
29,5236.86,1.25164,1.68999,0.01606,0.7251,0.61499,0.69393,0.47902,1.19718,1.2374,0.02108,0.02244,0.00748,0.02244,0.00748,0.02244,0.00748,0.02244,0.00748
30,5423.87,1.24755,1.67426,0.01592,0.72704,0.62194,0.69527,0.48511,1.18925,1.22796,0.02086,0.02217,0.00739,0.02217,0.00739,0.02217,0.00739,0.02217,0.00739
31,5609.76,1.24965,1.67422,0.01592,0.72149,0.63527,0.70245,0.49019,1.18407,1.20752,0.02068,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073,0.0219,0.0073
32,5789.04,1.24053,1.66756,0.01582,0.74536,0.61583,0.70378,0.48895,1.18287,1.1938,0.02072,0.02163,0.00721,0.02163,0.00721,0.02163,0.00721,0.02163,0.00721
33,5973.64,1.23872,1.65248,0.01584,0.73589,0.62749,0.70889,0.49579,1.17587,1.18771,0.02066,0.02136,0.00712,0.02136,0.00712,0.02136,0.00712,0.02136,0.00712
34,6160.64,1.23635,1.64898,0.01577,0.72765,0.63444,0.70747,0.49903,1.16238,1.18441,0.02021,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
35,6345.52,1.23067,1.63324,0.01575,0.73054,0.64485,0.71496,0.50204,1.16471,1.16916,0.02036,0.02082,0.00694,0.02082,0.00694,0.02082,0.00694,0.02082,0.00694
36,6523.53,1.23459,1.63041,0.01575,0.72445,0.64374,0.71357,0.50481,1.16066,1.15512,0.02014,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685,0.02055,0.00685
37,6695.24,1.23469,1.63623,0.01566,0.73562,0.64265,0.71887,0.50644,1.15827,1.16674,0.02016,0.02028,0.00676,0.02028,0.00676,0.02028,0.00676,0.02028,0.00676
38,6859.46,1.22128,1.61941,0.01568,0.75546,0.63638,0.72442,0.51424,1.14866,1.15699,0.0199,0.02001,0.00667,0.02001,0.00667,0.02001,0.00667,0.02001,0.00667
39,7030.67,1.22387,1.61878,0.01555,0.76788,0.62694,0.7235,0.51289,1.14741,1.1484,0.01988,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658,0.01974,0.00658
40,7210.5,1.22787,1.60999,0.01558,0.75959,0.63514,0.72708,0.51738,1.14608,1.13836,0.01984,0.01947,0.00649,0.01947,0.00649,0.01947,0.00649,0.01947,0.00649
41,7396.7,1.21344,1.59545,0.01549,0.73467,0.65482,0.72767,0.51746,1.1423,1.1323,0.0197,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064,0.0192,0.0064
