epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,256.239,1.62183,2.85527,0.02278,0.621,0.50551,0.55072,0.36213,1.37225,1.61701,0.02452,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,475.304,1.24818,1.71207,0.01599,0.67086,0.53997,0.6031,0.40607,1.29264,1.46326,0.02335,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792
3,679.003,1.2388,1.66187,0.01589,0.59238,0.47838,0.51377,0.32957,1.40011,1.74746,0.02614,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938
4,893.301,1.27949,1.77268,0.01675,0.6179,0.48588,0.53702,0.34222,1.38583,1.5996,0.02632,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1109.01,1.265,1.7369,0.0165,0.61439,0.50828,0.55537,0.36203,1.32647,1.53906,0.02453,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1333.14,1.24962,1.69717,0.01635,0.61845,0.54113,0.58624,0.39112,1.29277,1.49625,0.02394,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1544.9,1.23777,1.66489,0.01597,0.65154,0.53963,0.59046,0.39317,1.28786,1.47713,0.02345,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1766.42,1.23185,1.64646,0.01598,0.67389,0.57404,0.63833,0.41746,1.29692,1.36864,0.02397,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1976.33,1.20887,1.62018,0.01573,0.66148,0.56372,0.6152,0.40654,1.27619,1.41386,0.02332,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2191.43,1.21263,1.60351,0.0156,0.69057,0.59439,0.65034,0.43241,1.27161,1.32592,0.0233,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2411.09,1.20935,1.58338,0.01554,0.69356,0.58218,0.65069,0.43462,1.26009,1.33468,0.02313,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2632.93,1.20374,1.5635,0.01544,0.68311,0.58768,0.64813,0.43865,1.24217,1.35499,0.0227,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2838.98,1.20019,1.56683,0.01527,0.68686,0.60664,0.66091,0.45426,1.21136,1.26268,0.02162,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3052.2,1.19186,1.54994,0.01526,0.72657,0.58211,0.66229,0.44793,1.2298,1.31078,0.02218,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3274.03,1.19246,1.53626,0.0151,0.71173,0.60637,0.68469,0.47261,1.19985,1.26043,0.02171,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3485.63,1.17913,1.52278,0.01512,0.73396,0.61243,0.69089,0.48237,1.17832,1.22728,0.02105,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3688.33,1.17879,1.50159,0.01502,0.72942,0.63946,0.7067,0.49328,1.18288,1.19616,0.02094,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3889.05,1.17311,1.49699,0.01495,0.73248,0.64342,0.7157,0.4993,1.17069,1.15736,0.02063,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4084.18,1.17551,1.4957,0.01502,0.73798,0.63458,0.71289,0.50192,1.15847,1.15743,0.02034,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4278.08,1.16811,1.47808,0.01474,0.73634,0.62414,0.70231,0.49088,1.16194,1.18571,0.02032,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4472.89,1.16855,1.47077,0.01481,0.7346,0.64904,0.72266,0.51157,1.14124,1.12645,0.02005,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4672.59,1.15311,1.45997,0.01455,0.7622,0.6513,0.73136,0.52012,1.1429,1.11299,0.01999,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4873.16,1.1595,1.44291,0.0147,0.75049,0.6641,0.73501,0.52458,1.12153,1.08673,0.01952,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5074.58,1.15806,1.43169,0.01452,0.76342,0.6742,0.7511,0.5381,1.11803,1.05307,0.01949,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5285.55,1.1501,1.43587,0.01455,0.74807,0.67185,0.74507,0.53744,1.10833,1.06969,0.01927,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5498.96,1.1458,1.42864,0.01449,0.74251,0.6844,0.75163,0.54148,1.09762,1.07966,0.01899,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5712.11,1.14701,1.41675,0.01446,0.76444,0.67746,0.75646,0.5505,1.09479,1.0411,0.01881,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5918.03,1.15054,1.41551,0.01448,0.76135,0.67181,0.75231,0.54734,1.08772,1.05226,0.01867,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6108.12,1.14199,1.40504,0.01434,0.76831,0.66994,0.7553,0.5505,1.0869,1.04103,0.01872,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6305.23,1.13941,1.3972,0.01428,0.76424,0.68385,0.76366,0.55615,1.07188,1.02946,0.01828,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6508.13,1.13991,1.39402,0.01426,0.78426,0.67946,0.76736,0.56192,1.07155,1.01688,0.01822,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6717.4,1.134,1.37175,0.01418,0.78703,0.68388,0.76949,0.5648,1.06896,1.00244,0.01817,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6929.29,1.13038,1.3685,0.01417,0.79244,0.68761,0.7739,0.5687,1.06096,0.99337,0.01808,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7136.1,1.13207,1.36908,0.01415,0.78622,0.68945,0.77386,0.57172,1.0594,0.98823,0.01794,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7346.64,1.11646,1.36432,0.01396,0.77956,0.70043,0.77707,0.57454,1.04523,0.98606,0.01768,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7572.08,1.12371,1.34223,0.01403,0.78835,0.69945,0.77985,0.57774,1.04832,0.97282,0.01766,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7778.75,1.1214,1.33706,0.01393,0.78121,0.70638,0.78406,0.58062,1.04279,0.9668,0.01752,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7978.83,1.11975,1.33222,0.0141,0.79752,0.69175,0.78037,0.5777,1.04258,0.97662,0.01762,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8188.99,1.11906,1.33409,0.01392,0.79009,0.69726,0.78351,0.5817,1.04111,0.95695,0.01747,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8383.16,1.11937,1.31842,0.01388,0.78987,0.70618,0.79011,0.58909,1.03746,0.94994,0.01741,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8577.66,1.1095,1.30505,0.01388,0.79145,0.71056,0.78961,0.58674,1.03224,0.95171,0.01729,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8774.05,1.10742,1.30259,0.01379,0.80846,0.70573,0.79263,0.59083,1.02857,0.94252,0.01718,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8958.86,1.10463,1.30823,0.01368,0.80449,0.70534,0.79309,0.59165,1.0256,0.94803,0.01714,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9153.69,1.10508,1.29569,0.0138,0.80163,0.70884,0.79506,0.59272,1.02808,0.94135,0.01719,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9349.29,1.1045,1.28491,0.01362,0.80384,0.70404,0.79436,0.59442,1.02322,0.94174,0.01707,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9548.71,1.09905,1.27838,0.01364,0.81064,0.70154,0.79653,0.59727,1.02038,0.93248,0.01699,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9754.06,1.09458,1.27545,0.01351,0.80177,0.71672,0.79876,0.59974,1.01958,0.92827,0.01699,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9961.96,1.0971,1.26885,0.01351,0.8036,0.71189,0.79769,0.59986,1.01712,0.93404,0.01694,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10159.3,1.09053,1.26663,0.01344,0.80341,0.71783,0.79932,0.60096,1.01602,0.92928,0.01694,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10368.4,1.08664,1.24624,0.01339,0.80621,0.71493,0.79872,0.60067,1.01735,0.92298,0.01697,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10580.1,1.083,1.24454,0.01336,0.81263,0.70647,0.79779,0.60097,1.0136,0.92847,0.01688,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10801.4,1.08147,1.24487,0.01335,0.80234,0.7161,0.79903,0.60144,1.01077,0.93232,0.01682,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11017.8,1.08466,1.23357,0.01328,0.80524,0.71228,0.79955,0.60284,1.01049,0.9298,0.01678,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11247.8,1.0774,1.22615,0.01325,0.80699,0.71375,0.79968,0.60325,1.00913,0.92884,0.01678,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11463.2,1.06874,1.21748,0.0132,0.8067,0.71662,0.80113,0.60336,1.00749,0.92811,0.01674,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11675.6,1.06948,1.22177,0.01302,0.81735,0.70925,0.80185,0.60479,1.00521,0.92517,0.01669,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11892.9,1.06599,1.20449,0.01308,0.81246,0.71816,0.80194,0.60616,1.00415,0.92316,0.01665,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12119.5,1.05866,1.20355,0.013,0.81435,0.71829,0.80318,0.6074,1.00289,0.92107,0.0166,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12328.5,1.06256,1.1942,0.01303,0.81299,0.7229,0.80367,0.6079,1.00279,0.92086,0.0166,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12554.6,1.05077,1.19471,0.0128,0.81286,0.72358,0.80299,0.6079,1.00353,0.91889,0.01661,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12781.5,1.05657,1.1883,0.0129,0.8143,0.72328,0.80263,0.60717,1.00368,0.91695,0.0166,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12984.8,1.05132,1.18002,0.01284,0.80837,0.72736,0.80308,0.60784,1.00264,0.91724,0.01657,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13179.7,1.04923,1.17091,0.01295,0.80934,0.72603,0.8035,0.6078,1.00329,0.91431,0.01659,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13374.4,1.04723,1.16513,0.01285,0.80433,0.72983,0.80319,0.60813,1.00276,0.91192,0.01655,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13567,1.04204,1.15755,0.01274,0.80553,0.72998,0.80378,0.60808,1.00217,0.91151,0.01656,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13757.1,1.03754,1.13668,0.0126,0.80411,0.73011,0.80435,0.6093,1.00252,0.90885,0.01655,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13947.9,1.03006,1.13386,0.01257,0.80353,0.73149,0.80483,0.60979,1.00189,0.9078,0.01653,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14140.6,1.03101,1.1353,0.01246,0.80447,0.73112,0.80465,0.60922,1.00049,0.90953,0.01649,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14325.7,1.03217,1.13239,0.01253,0.80131,0.73255,0.80475,0.60931,1.00027,0.90788,0.01648,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14509.5,1.02298,1.11714,0.01241,0.79499,0.7345,0.80542,0.61029,0.9988,0.90898,0.01646,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14694.2,1.01895,1.11465,0.01236,0.79238,0.73782,0.80555,0.61084,0.99789,0.90779,0.01644,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14884.6,1.01996,1.11884,0.01228,0.79319,0.73602,0.80544,0.61059,0.99732,0.90888,0.01644,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15089.7,1.0197,1.09871,0.01228,0.79139,0.73916,0.80621,0.61105,0.9969,0.90746,0.01643,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15312.4,1.01287,1.09314,0.01217,0.79703,0.73256,0.80638,0.61106,0.99718,0.90723,0.01644,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15540,1.00546,1.08874,0.01205,0.80339,0.72817,0.80703,0.61168,0.99606,0.90724,0.01642,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15765,1.00813,1.07349,0.01208,0.80318,0.72817,0.80725,0.61216,0.99633,0.90673,0.01641,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15974.5,1.00523,1.07005,0.01198,0.79966,0.73064,0.80746,0.61244,0.99577,0.90529,0.01639,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16160.9,0.99974,1.07231,0.01204,0.80385,0.72866,0.80733,0.61242,0.99585,0.90423,0.0164,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16344.6,0.992,1.0516,0.01186,0.81416,0.7218,0.80755,0.61296,0.99518,0.90423,0.01636,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16535.9,0.98887,1.05548,0.01185,0.80587,0.72898,0.8077,0.61362,0.99534,0.9026,0.01636,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16727,0.98596,1.0403,0.0118,0.80594,0.72741,0.80762,0.61353,0.99478,0.9027,0.01635,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16926.5,0.9842,1.03298,0.0117,0.80995,0.72275,0.8071,0.6133,0.9945,0.9033,0.01635,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,17119.4,0.98324,1.03835,0.01179,0.80464,0.72967,0.80722,0.61323,0.99404,0.9037,0.01634,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17311.6,0.97527,1.02999,0.01161,0.80566,0.72985,0.80731,0.61357,0.99346,0.9047,0.01632,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17504.9,0.97595,1.01662,0.01157,0.80595,0.72963,0.80745,0.61367,0.9938,0.90394,0.01632,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17705.9,0.96998,1.01662,0.01155,0.80465,0.72961,0.80719,0.61334,0.99398,0.90374,0.01631,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17924.6,0.96434,1.00432,0.01152,0.80557,0.72872,0.80682,0.61333,0.99391,0.90451,0.01629,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,18139.9,0.96918,1.00494,0.01145,0.80647,0.72649,0.80674,0.61356,0.99394,0.90401,0.01629,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18347.3,0.96357,0.99182,0.01135,0.80883,0.72461,0.80688,0.61363,0.99363,0.90408,0.01628,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18550.1,0.95873,0.99218,0.01138,0.811,0.72256,0.80685,0.61389,0.99425,0.90252,0.01629,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18765.6,0.90335,0.72841,0.01257,0.80674,0.72854,0.80768,0.61427,0.99359,0.90294,0.01627,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18967.9,0.8896,0.68617,0.01219,0.80637,0.72803,0.8076,0.61431,0.99417,0.90214,0.01628,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,19161.2,0.88248,0.68028,0.012,0.80379,0.73227,0.8073,0.61425,0.99427,0.90192,0.01627,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19360.8,0.87212,0.66119,0.01182,0.80615,0.73084,0.80732,0.6143,0.99405,0.90186,0.01627,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19543.6,0.86642,0.65543,0.01163,0.80539,0.73109,0.80734,0.61435,0.99447,0.90156,0.01628,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19727.2,0.86033,0.6442,0.01158,0.80574,0.73009,0.80686,0.61412,0.99436,0.90282,0.01628,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19912.5,0.85791,0.64502,0.01151,0.80319,0.73157,0.8066,0.6139,0.99412,0.90344,0.01628,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,20115.2,0.85081,0.63391,0.01134,0.80466,0.73065,0.80597,0.61345,0.99331,0.90492,0.01626,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20314.4,0.84947,0.62659,0.01135,0.80582,0.72685,0.80569,0.61346,0.99295,0.90561,0.01625,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20543.4,0.84126,0.62116,0.0111,0.80639,0.72695,0.80587,0.61376,0.99324,0.90473,0.01626,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
