epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,237.862,1.60223,2.78898,0.02234,0.6372,0.52251,0.56717,0.376,1.35855,1.57142,0.0243,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,454.034,1.24078,1.68449,0.01587,0.67099,0.56279,0.62007,0.41761,1.274,1.398,0.02291,0.0195662,0.00652205,0.0195662,0.00652205,0.0195662,0.00652205,0.0195662,0.00652205
3,667.473,1.22637,1.63869,0.01566,0.57545,0.46182,0.48927,0.30313,1.42706,1.78831,0.02718,0.0287749,0.00959164,0.0287749,0.00959164,0.0287749,0.00959164,0.0287749,0.00959164
4,883.318,1.2699,1.74316,0.01655,0.59917,0.4507,0.48781,0.30611,1.40539,1.78886,0.02668,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1080,1.25518,1.71142,0.01631,0.6265,0.50568,0.55006,0.35427,1.35564,1.58485,0.02531,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1305.85,1.24477,1.67169,0.01624,0.63645,0.56335,0.60939,0.39766,1.31509,1.42573,0.02467,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1523.13,1.22823,1.6313,0.01584,0.65908,0.55971,0.61353,0.40793,1.29622,1.41146,0.02385,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1732.03,1.221,1.61353,0.01574,0.65978,0.55226,0.61448,0.40875,1.28531,1.4099,0.02352,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1937.36,1.19882,1.5748,0.01552,0.67127,0.54418,0.60318,0.39911,1.26441,1.40862,0.02296,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2131.84,1.20323,1.56468,0.01539,0.69629,0.61756,0.67251,0.46209,1.21286,1.24349,0.02189,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2329.56,1.19618,1.53725,0.01532,0.70608,0.59263,0.66388,0.45063,1.22511,1.2925,0.02209,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2533.57,1.18511,1.5172,0.01513,0.70587,0.6119,0.67709,0.46801,1.20965,1.25859,0.0217,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2728.3,1.18727,1.51454,0.01503,0.72735,0.63302,0.70753,0.49366,1.18388,1.1688,0.0209,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2938.25,1.17736,1.49157,0.01497,0.71237,0.61023,0.68302,0.46964,1.20999,1.23767,0.02193,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3143.49,1.17126,1.48053,0.0148,0.72044,0.61933,0.68709,0.48011,1.19721,1.24071,0.02132,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3350.19,1.16091,1.47146,0.01474,0.7346,0.64022,0.71375,0.5037,1.15824,1.17273,0.02044,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3541.16,1.15972,1.44559,0.01466,0.74963,0.63946,0.71755,0.50218,1.17535,1.14952,0.02105,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3738.22,1.15151,1.428,0.01453,0.74287,0.65019,0.72393,0.51299,1.15257,1.12052,0.02022,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3927.75,1.15016,1.41707,0.01454,0.74881,0.64417,0.72753,0.51968,1.13745,1.12441,0.01987,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4120.44,1.14027,1.39297,0.01425,0.74937,0.65544,0.73394,0.5224,1.13216,1.11149,0.01981,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4320.64,1.14106,1.39388,0.01424,0.75111,0.67373,0.74404,0.53425,1.12107,1.07264,0.01959,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4521.52,1.13034,1.36557,0.01413,0.77163,0.65417,0.74176,0.53548,1.10618,1.06393,0.01905,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4722.09,1.12348,1.34914,0.01408,0.77623,0.66633,0.75033,0.54548,1.10236,1.05261,0.01901,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4921.37,1.11858,1.33254,0.01384,0.78535,0.68139,0.76445,0.55681,1.09691,1.01833,0.01876,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5117.97,1.11327,1.32933,0.01388,0.76474,0.68348,0.75914,0.55437,1.08433,1.0318,0.01857,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5306.16,1.1063,1.314,0.01377,0.76469,0.69566,0.76894,0.56053,1.08151,1.01491,0.01853,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5493.38,1.10617,1.29462,0.01374,0.79562,0.68465,0.77384,0.56867,1.06847,0.99147,0.0181,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5682.71,1.09991,1.28579,0.01362,0.78335,0.69276,0.77418,0.56997,1.06543,0.98272,0.01803,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,5870.38,1.0972,1.27022,0.01357,0.78377,0.70667,0.77608,0.57172,1.06053,0.98724,0.018,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6054.57,1.08386,1.26314,0.01332,0.79724,0.70013,0.78374,0.57954,1.04997,0.97184,0.01762,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6241.78,1.08637,1.24505,0.01327,0.78737,0.70594,0.7822,0.58024,1.04132,0.96567,0.01743,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6430.85,1.0769,1.22411,0.01316,0.80567,0.70246,0.78936,0.58557,1.04736,0.95015,0.01755,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6619.01,1.06283,1.21375,0.013,0.79471,0.71299,0.78675,0.58562,1.03575,0.95423,0.01728,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6806.3,1.06041,1.20658,0.01292,0.80594,0.69834,0.78655,0.58904,1.03303,0.94337,0.01716,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6995.96,1.05082,1.19028,0.0128,0.80243,0.70938,0.7893,0.59137,1.02953,0.95087,0.01712,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7186.27,1.04711,1.17135,0.01274,0.79353,0.72001,0.79413,0.59511,1.03065,0.93686,0.01712,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7377.34,1.04229,1.16169,0.01256,0.80008,0.71423,0.79546,0.5971,1.02501,0.93586,0.01697,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7563.59,1.03506,1.14742,0.01267,0.81766,0.70324,0.79618,0.59903,1.02153,0.93958,0.01692,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7752.14,1.02967,1.14715,0.01244,0.79786,0.7163,0.79594,0.5977,1.02137,0.9294,0.0169,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7936.7,1.02847,1.12181,0.01238,0.80069,0.72162,0.79712,0.60135,1.02182,0.93411,0.01686,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8126.28,0.97925,0.86082,0.01403,0.81023,0.71874,0.7998,0.60048,1.02919,0.92784,0.01702,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8307.27,0.95639,0.82537,0.01352,0.80977,0.71266,0.79798,0.60009,1.02769,0.93024,0.01699,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8491.55,0.94694,0.80254,0.01324,0.81067,0.71115,0.79647,0.60021,1.02129,0.9324,0.01685,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8674.38,0.93566,0.77747,0.01303,0.80419,0.71707,0.79523,0.59925,1.02249,0.93346,0.01682,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8858.9,0.923,0.76194,0.01275,0.80568,0.7179,0.79493,0.60085,1.02012,0.93325,0.01675,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9041.77,0.91591,0.7442,0.01261,0.79978,0.7206,0.79386,0.60079,1.01732,0.94084,0.0167,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9223.58,0.90507,0.73407,0.01241,0.79879,0.72264,0.79527,0.60018,1.01955,0.94279,0.01674,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9404.69,0.89756,0.71993,0.01219,0.80548,0.725,0.79633,0.60131,1.01971,0.93935,0.01673,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,9587.92,0.89419,0.70562,0.01213,0.80986,0.71992,0.79608,0.60074,1.01886,0.94008,0.01672,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9768.82,0.88313,0.69724,0.01205,0.80739,0.71757,0.79525,0.59963,1.0181,0.94025,0.01671,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
