epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.296,1.53598,2.63486,0.02107,0.62429,0.50933,0.54652,0.3598,1.38795,1.6276,0.02522,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046,0.00996139,0.00332046
2,349.894,1.28431,1.80204,0.01664,0.61383,0.49956,0.54265,0.3486,1.39609,1.64789,0.02584,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792,0.0197638,0.00658792
3,525.246,1.28252,1.78844,0.01658,0.50704,0.34667,0.35901,0.21484,1.54526,2.17611,0.03025,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938,0.0293682,0.00978938
4,696.751,1.32964,1.88115,0.01754,0.53664,0.40854,0.42548,0.25838,1.49929,1.94769,0.02867,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,872.082,1.31987,1.86092,0.01734,0.5092,0.3824,0.39506,0.23958,1.48443,2.05992,0.02898,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1047.69,1.30741,1.83348,0.01725,0.53673,0.38121,0.40427,0.24541,1.47369,1.94624,0.02847,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1222.16,1.30102,1.80853,0.01701,0.60055,0.47489,0.51452,0.33204,1.37578,1.69036,0.02552,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1396.53,1.29176,1.79354,0.01695,0.58342,0.48144,0.50219,0.315,1.38692,1.70653,0.02607,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1563.88,1.2733,1.77306,0.01674,0.62361,0.46274,0.50793,0.32291,1.36931,1.76124,0.02541,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1730.94,1.27553,1.77223,0.01659,0.62266,0.51724,0.56192,0.36174,1.34462,1.60888,0.02489,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1907.39,1.26978,1.74936,0.0165,0.63967,0.50347,0.55934,0.35932,1.32577,1.5606,0.02439,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2081.18,1.26812,1.72398,0.01649,0.65266,0.53529,0.58806,0.38615,1.32233,1.52464,0.02445,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
