image,n_gt,gain_recall,gain_precision,student_tp,student_fp,student_fn,teacher_tp,teacher_fp,teacher_fn,kd_tp,kd_fp,kd_fn
009602,8,4,0,1,1,7,5,1,3,5,1,3
009854,24,3,0,20,6,4,23,1,1,23,6,1
003076,19,3,0,16,0,3,17,1,2,19,0,0
005291,4,3,-1,1,0,3,3,2,1,4,1,0
006984,18,2,4,13,6,5,16,3,2,15,2,3
001416,4,2,2,1,4,3,1,4,3,3,2,1
006591,3,2,2,1,3,2,2,0,1,3,1,0
008178,3,2,2,0,3,3,1,3,2,2,1,1
000618,2,2,2,0,4,2,1,0,1,2,2,0
008820,2,2,2,0,2,2,2,0,0,2,0,0
000693,11,2,1,9,2,2,11,1,0,11,1,0
002788,9,2,1,5,1,4,5,3,4,7,0,2
001974,7,2,1,4,2,3,4,3,3,6,1,1
001276,6,2,1,4,3,2,5,4,1,6,2,0
002035,6,2,1,3,3,3,4,1,2,5,2,1
006142,6,2,1,2,2,4,5,5,1,4,1,2
000852,5,2,1,1,1,4,1,1,4,3,0,2
008616,5,2,1,3,3,2,5,2,0,5,2,0
009931,5,2,1,2,1,3,3,0,2,4,0,1
005753,4,2,1,2,2,2,1,4,3,4,1,0
008671,4,2,1,1,3,3,2,2,2,3,2,1
004669,2,2,1,0,2,2,0,2,2,2,1,0
008304,2,2,1,0,1,2,1,0,1,2,0,0
000547,22,2,0,8,7,14,8,7,14,10,7,12
003833,14,2,0,11,2,3,10,3,4,13,2,1
005088,10,2,0,7,2,3,7,1,3,9,2,1
006796,10,2,0,6,1,4,8,4,2,8,1,2
009356,9,2,0,7,4,2,9,0,0,9,4,0
009539,8,2,0,6,1,2,6,0,2,8,1,0
003323,7,2,0,4,3,3,6,1,1,6,3,1
007456,6,2,0,3,3,3,4,2,2,5,3,1
009903,5,2,0,3,0,2,5,0,0,5,0,0
008501,4,2,0,2,2,2,0,0,4,4,2,0
000883,3,2,0,1,2,2,1,1,2,3,2,0
003193,3,2,0,1,2,2,3,0,0,3,2,0
008652,3,2,0,1,0,2,1,0,2,3,0,0
004306,2,2,0,0,1,2,2,0,0,2,1,0
