epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1328.14,0.86094,1.82981,0.01155,0.75929,0.74744,0.81426,0.62602,0.83951,0.81439,0.01453,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,2295.27,1.00208,1.45435,0.01393,0.65242,0.63861,0.67533,0.47922,1.02523,1.11067,0.01963,0.0197996,0.00659987,0.0197996,0.00659987,0.0197996,0.00659987,0.0197996,0.00659987
3,3174.03,1.17935,1.74339,0.01711,0.63186,0.57085,0.61292,0.40498,1.2005,1.30697,0.02364,0.0294036,0.00980121,0.0294036,0.00980121,0.0294036,0.00980121,0.0294036,0.00980121
4,4037.62,1.29749,1.93127,0.01894,0.66563,0.60788,0.65423,0.43773,1.18279,1.23047,0.02315,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4902.51,1.26235,1.85123,0.01817,0.67065,0.62493,0.67521,0.45458,1.15755,1.18973,0.02229,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5766.59,1.23848,1.7658,0.0177,0.69382,0.64868,0.70206,0.48165,1.11204,1.15729,0.0213,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6628.75,1.20366,1.68766,0.01702,0.70924,0.65149,0.71223,0.496,1.09205,1.08509,0.02065,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7491.73,1.18134,1.62456,0.01669,0.72908,0.67478,0.74267,0.52639,1.06552,1.04851,0.0201,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8352.72,1.15731,1.57542,0.01627,0.75614,0.67201,0.75264,0.53519,1.06305,1.00509,0.01997,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9216.71,1.1391,1.52293,0.0159,0.75416,0.69414,0.75753,0.54489,1.03225,0.98986,0.01919,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10079.1,1.12427,1.47375,0.01569,0.75722,0.71344,0.77767,0.56746,0.99527,0.92349,0.01814,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,10941,1.11663,1.42462,0.01538,0.76518,0.71275,0.78413,0.57036,1.01584,0.92034,0.0188,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,11801.8,1.0986,1.40754,0.01516,0.76821,0.71498,0.79149,0.58183,0.9887,0.89286,0.01801,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,12663.1,1.08915,1.37517,0.01486,0.7733,0.72971,0.79614,0.59495,0.97281,0.87769,0.01764,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,13521.6,1.08009,1.36219,0.01484,0.77244,0.72572,0.80295,0.60171,0.95573,0.87368,0.01719,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,14385.4,1.06571,1.31636,0.01451,0.78157,0.74038,0.81283,0.60901,0.94978,0.84244,0.01695,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,15246.2,1.05792,1.31475,0.01432,0.80928,0.74808,0.82493,0.62406,0.9276,0.8154,0.01642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,16108.5,1.04676,1.2973,0.01424,0.78933,0.7588,0.82415,0.62604,0.92692,0.80969,0.01642,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,16971.4,1.04321,1.27085,0.01414,0.79814,0.76087,0.82852,0.63021,0.92437,0.79166,0.01634,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,17840,1.03061,1.2417,0.01392,0.80496,0.7631,0.83718,0.64127,0.90267,0.78243,0.01584,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,18706,1.02586,1.22506,0.01377,0.80379,0.77749,0.84638,0.65043,0.90308,0.76729,0.01586,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,19578,1.0226,1.2099,0.0136,0.82191,0.77196,0.84792,0.64975,0.89998,0.75671,0.01581,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
