epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,808.976,0.86934,1.82705,0.01108,0.74173,0.69935,0.76746,0.57675,0.89857,0.9303,0.01567,0.00999517,0.00333172,0.00999517,0.00333172,0.00999517,0.00333172,0.00999517,0.00333172
2,1379.76,1.00285,1.40683,0.01352,0.70818,0.6599,0.72322,0.51239,1.03343,1.04521,0.01944,0.0197972,0.00659907,0.0197972,0.00659907,0.0197972,0.00659907,0.0197972,0.00659907
3,1896.19,1.17811,1.69173,0.01645,0.5908,0.55094,0.58311,0.37935,1.24017,1.37758,0.02454,0.0294013,0.00980042,0.0294013,0.00980042,0.0294013,0.00980042,0.0294013,0.00980042
4,2416.58,1.29766,1.93557,0.01854,0.62721,0.58019,0.6136,0.40214,1.23522,1.32207,0.02381,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3009.36,1.27243,1.82398,0.01784,0.65448,0.6085,0.65249,0.43652,1.19335,1.26469,0.02272,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3600.47,1.23114,1.72791,0.01703,0.7084,0.61787,0.69514,0.47437,1.15551,1.19574,0.02174,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4125.5,1.21016,1.66139,0.01661,0.69712,0.63171,0.69344,0.48322,1.11566,1.14692,0.02078,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4642.54,1.18513,1.58789,0.01627,0.71768,0.65235,0.71388,0.49922,1.10433,1.08911,0.02036,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5162.15,1.16206,1.53495,0.01571,0.76811,0.67767,0.76367,0.54243,1.08133,1.00881,0.01966,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5691.31,1.14181,1.49838,0.01536,0.74738,0.67869,0.75685,0.54316,1.06864,0.99383,0.01952,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6216.14,1.13203,1.44833,0.01515,0.75758,0.7041,0.77468,0.5572,1.0488,0.94526,0.01898,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6738.36,1.11771,1.4199,0.01493,0.76729,0.70759,0.78478,0.57063,1.02192,0.94222,0.0184,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7258.8,1.09855,1.3929,0.01454,0.77545,0.69969,0.77958,0.57309,1.00998,0.93949,0.01803,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7779.59,1.09084,1.35822,0.01441,0.78164,0.71934,0.80323,0.59017,1.00816,0.8796,0.01804,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8293.36,1.08135,1.33382,0.01439,0.78762,0.72376,0.80622,0.6023,0.98392,0.8709,0.01725,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,8820.26,1.07356,1.30304,0.01418,0.78364,0.74148,0.81807,0.61456,0.97292,0.84045,0.01714,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9349.59,1.06254,1.26856,0.0138,0.79719,0.74939,0.82211,0.62297,0.9537,0.82118,0.01653,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9873.16,1.04716,1.25447,0.01376,0.79954,0.74464,0.82229,0.61867,0.95538,0.83149,0.01666,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10396.8,1.03797,1.23491,0.01369,0.81006,0.73757,0.82348,0.62084,0.94891,0.8157,0.01657,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10948,1.03408,1.21643,0.0134,0.80929,0.7473,0.83246,0.63352,0.94348,0.79901,0.01638,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,11478.7,1.02382,1.20063,0.01333,0.81851,0.76317,0.84371,0.64281,0.92855,0.7837,0.01598,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,11997.3,1.01711,1.17543,0.01315,0.81412,0.76485,0.83994,0.64515,0.92494,0.77205,0.01594,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,12501.6,1.00785,1.16882,0.01315,0.81707,0.7703,0.84916,0.65283,0.91767,0.76198,0.0156,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,13006.8,1.00358,1.14105,0.01298,0.8065,0.78254,0.85015,0.65273,0.90761,0.7623,0.01545,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,13515.6,0.99559,1.12762,0.01286,0.81433,0.77656,0.85043,0.65617,0.90545,0.7629,0.01542,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
