epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,309.149,0.93968,3.92745,0.01146,0.58564,0.549,0.58207,0.41506,0.97889,1.39191,0.01671,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,534.321,1.06598,2.32348,0.01369,0.58941,0.57522,0.58847,0.41007,1.08819,1.44909,0.01975,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943
3,743.611,1.18673,1.9938,0.0158,0.45573,0.39061,0.35852,0.21612,1.39492,2.31207,0.02719,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569
4,949.196,1.32347,2.09853,0.01818,0.50901,0.40675,0.40466,0.23921,1.4944,1.98288,0.02995,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1148.67,1.31492,1.9428,0.01773,0.52394,0.43477,0.44333,0.26789,1.40826,1.88786,0.02795,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1348.29,1.29146,1.85605,0.01743,0.61482,0.5025,0.5464,0.34542,1.36614,1.57022,0.02666,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1547.69,1.27777,1.79707,0.01716,0.60697,0.55656,0.58783,0.38343,1.28965,1.47033,0.02443,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1747.54,1.26535,1.76347,0.0168,0.64022,0.54386,0.59728,0.39446,1.28223,1.41244,0.02403,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1946.46,1.24567,1.69976,0.01646,0.65763,0.58499,0.63202,0.4226,1.25411,1.35412,0.02336,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2145.16,1.23303,1.67508,0.01619,0.69279,0.58452,0.65382,0.43676,1.26516,1.30121,0.02356,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2344.34,1.21871,1.63402,0.01588,0.65236,0.57985,0.62907,0.42657,1.22798,1.35823,0.0227,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2543.69,1.20768,1.61108,0.01579,0.69728,0.60989,0.66987,0.4592,1.20899,1.27192,0.0225,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2742.94,1.19691,1.57984,0.0156,0.70437,0.62553,0.69206,0.47774,1.17981,1.1785,0.02153,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2941.92,1.19108,1.54848,0.01552,0.73631,0.61355,0.69813,0.48485,1.17006,1.16148,0.02133,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
