epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,476.488,0.90669,2.05582,0.01136,0.73512,0.73462,0.78664,0.59408,0.88422,0.88138,0.01492,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011,0.00999034,0.00333011
2,838.579,1.0222,1.40211,0.01341,0.65472,0.61795,0.6679,0.46845,1.09821,1.20989,0.02039,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748,0.0197924,0.00659748
3,1182.85,1.19353,1.68786,0.01635,0.57387,0.49127,0.52928,0.3368,1.28432,1.52972,0.02479,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884,0.0293965,0.00979884
4,1502.67,1.31287,1.91331,0.01834,0.58139,0.5235,0.55279,0.34888,1.33677,1.46365,0.02628,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1816.45,1.2768,1.82861,0.01751,0.62216,0.59032,0.60627,0.39925,1.23393,1.38336,0.0234,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2128.64,1.25554,1.73385,0.0169,0.65491,0.59768,0.65172,0.44153,1.20144,1.26636,0.02251,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2442.14,1.22855,1.65966,0.01657,0.70001,0.63078,0.69462,0.47255,1.18874,1.16787,0.02196,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2770.91,1.20744,1.61413,0.01614,0.71161,0.62752,0.69597,0.48308,1.14193,1.17612,0.02115,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3131.52,1.1787,1.55262,0.01559,0.72651,0.65135,0.72179,0.50435,1.1359,1.0971,0.02083,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3480.97,1.17786,1.51508,0.01561,0.7486,0.65334,0.74031,0.52184,1.10185,1.08003,0.0201,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3778.18,1.16048,1.48819,0.01516,0.74361,0.67922,0.75098,0.53622,1.07483,1.01791,0.01927,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4084.21,1.14004,1.45148,0.01485,0.75123,0.689,0.76236,0.54625,1.06892,0.98439,0.01909,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4377.2,1.12862,1.41548,0.01488,0.75255,0.68728,0.76133,0.54972,1.0601,0.9872,0.01885,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4664.67,1.11643,1.38796,0.01455,0.76755,0.70332,0.77833,0.56471,1.02934,0.9611,0.01811,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4950.75,1.11884,1.37591,0.01459,0.78523,0.69755,0.78466,0.5764,1.03895,0.93538,0.01824,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5236.76,1.10832,1.34862,0.01436,0.79787,0.71069,0.80049,0.58906,1.01762,0.91148,0.01783,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5522.89,1.09306,1.3211,0.01416,0.78667,0.72025,0.79146,0.58717,1.00314,0.90358,0.01756,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5808.8,1.08674,1.29703,0.01401,0.79745,0.71095,0.80509,0.59516,1.00436,0.88328,0.01759,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6125.79,1.07499,1.29165,0.01391,0.78963,0.7316,0.80574,0.59961,0.99597,0.87421,0.01732,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6511.09,1.0719,1.26996,0.0137,0.79868,0.72423,0.80467,0.60505,0.97687,0.87673,0.01684,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6862.38,1.06413,1.25397,0.01358,0.79806,0.74399,0.81817,0.61595,0.97329,0.83799,0.01666,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7157.32,1.05416,1.22501,0.01346,0.79619,0.74306,0.81886,0.61903,0.973,0.84057,0.01665,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
